city,C000,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031
Singapore,0.01691828848880456,0.032085604528066254,0.008844985829676086,0.004227359266394043,0.040368524982739726,0.02858808534059472,0.0010223393828787725,0.0432279370229284,0.032297234010708616,0.007596935154473429,0.03348573874782939,0.03236925240879413,0.07091840758068073,0.040708097764774236,0.021413604476567063,0.014992701599210775,0.005486273051922449,0.04757076712871096,0.01656141519773275,0.010507846384354546,0.048815599104557836,0.05773863839361153,0.041084283251980706,0.056758544439777334,0.06614909981025767,0.02671520465295179,0.032813835257310874,0.061667060957337747,0.0023355687200359207,0.0013820290358868884,0.035576686316826235,0.05977205171162385
CapeTown,0.010214076227576127,0.04607108475736322,0.004475979390345701,0.004993299623563577,0.04207204743674621,0.028901570030927276,0.0008707291096974756,0.029743914491043244,0.02439800555859391,0.01645749978411675,0.03819054655242445,0.033790526083494046,0.04947684292334705,0.038105792387476856,0.012147430669493938,0.01775399863753682,0.007148933856570366,0.038613517809568586,0.022188000729205647,0.01401082294695029,0.04193572116199559,0.049935794722214225,0.03993360390700709,0.10855369416219708,0.04123889800395946,0.018314095737025415,0.053910445231218955,0.06349286305965733,0.0010726199271434008,0.0018022253565271901,0.02516279196210689,0.07502262776290582
Johannesburg,0.009154233939641664,0.045463392796317385,0.0049069937941795694,0.004942272569495133,0.0392502733091329,0.032940644068786315,0.000600550186693657,0.035208623268095984,0.023900762021546815,0.014522284831910828,0.039401120486344275,0.03555330095796068,0.04778489841334722,0.0376671889547426,0.013463516069279405,0.013671539192691859,0.00624596524351276,0.04181467532172621,0.02631431685692875,0.014683269588235867,0.03280358399916953,0.04550556512543024,0.040726710331247425,0.0923286100324727,0.04886921387534508,0.016795941075524155,0.04670909851780483,0.07656061947907442,0.0010972915632633598,0.0017189279145134449,0.030373809037205726,0.07902080717837923
Seoul,0.015463170272055153,0.031110771064542627,0.007923264017524927,0.005237343556207013,0.05923924423755295,0.03954866871768439,0.0027221622666430425,0.027197461462880337,0.03400367250293961,0.008640046389510816,0.04209042733115346,0.02774994765072564,0.0621039576051415,0.04558534542467342,0.014186250664433098,0.023088848799188183,0.008619106679767409,0.047017702108467695,0.01494289902227663,0.013209735354283781,0.04224103216661566,0.06572129246331523,0.03130607412657249,0.07619678494918093,0.06824895704138009,0.012323019183995618,0.041680089557527826,0.04172921733807967,0.0012632282589436722,0.0023339722629383245,0.03277185380861105,0.05450445371518773
Taipei,0.015108837095444238,0.029513888888888888,0.009773677463409606,0.0073583410636982064,0.046560953927025354,0.039389430014430016,0.0016753150123685837,0.03403534709338281,0.026883551716141003,0.009549818980622552,0.04032271052360338,0.03424591901154401,0.06076670725108225,0.04189133039579468,0.014858002860235003,0.016555864770150485,0.008757053957946815,0.04715764146567718,0.01517607516491445,0.016029636286332714,0.046465934858792,0.0578758728870336,0.03404903628117914,0.06967353702844774,0.06960629895897753,0.019676999587713875,0.03975259611420326,0.05886149440836941,0.0012183377138734281,0.0027595792104720676,0.026437042620078333,0.05801316738816739
Bangkok,0.013719468385069565,0.025725350381116303,0.010727378105052067,0.00882738481091075,0.04472009426521352,0.0375540061119112,0.0016956242675446019,0.03964359957721158,0.027664860342509714,0.005376661695815864,0.04347112808509415,0.02778301118601094,0.06156217767970903,0.03961725513237684,0.013203356761261852,0.01321014245159807,0.0077400777240954274,0.049828521613621196,0.017335043859509066,0.012704009784167148,0.04046227315836364,0.053958612078848125,0.03369454494362289,0.08129736012696426,0.047776848182552636,0.023963066684974724,0.04133563142046053,0.07022630676429545,0.0011140506899051281,0.0016301623137128423,0.040659058178113994,0.06177293323838689
Istanbul,0.01714107399886907,0.02467967665655683,0.009597652033105433,0.005587586104970956,0.0663124742970236,0.0458890498894772,0.0044767355934817255,0.022250343777309414,0.019106950084819822,0.011345856037629158,0.04811115252146198,0.03250181527270858,0.05635698863928443,0.04097978139618568,0.013272374440960263,0.015778816249421682,0.013867558988330848,0.04364445715313833,0.01974510679586696,0.012171564154629106,0.03293836426258161,0.07853383796843674,0.03323836619030484,0.09174958553950548,0.05056297550506349,0.023803365804760192,0.036918309515241866,0.050713177273428264,0.0012988035264483626,0.002090776486917185,0.022026245951781216,0.053309177890299694
London,0.018453561511871705,0.02420200924479272,0.009131863772879244,0.006361664062689733,0.04121137546648965,0.03316063434497163,0.0038084174566296175,0.037855078564547597,0.017875154821944645,0.012741947235062213,0.027381829368002656,0.03849177116304674,0.0536764646358345,0.05501137384743664,0.019251349885452,0.014622477313019615,0.007137595220555497,0.034123161362918826,0.01938087412672328,0.01423188077293591,0.04062284969521327,0.07441815282241417,0.03469509184078232,0.0897623230172672,0.06426102372722195,0.023349173068672135,0.04788430247148443,0.06848270446615774,0.0013846950918407824,0.0029535574642391665,0.01580600506763594,0.04826963708926649
LosAngeles,0.010237417804246788,0.04133323801062581,0.004768277459767659,0.003961381450950844,0.045672161645891135,0.027746539062763576,0.0013430862386677098,0.019020093277017962,0.027979088982676436,0.01148089716875493,0.0492238696627986,0.029484438032475056,0.05022234824812394,0.029365954049099762,0.019261077649984658,0.018111180550311915,0.008096271650437708,0.03350124588920824,0.010489246473996983,0.015691295805104692,0.04077053949974857,0.05668313928736101,0.03368077924706842,0.10891369064354074,0.07625428349722949,0.013269402856789413,0.04401941048796122,0.06410867109970808,0.0008374206960592629,0.0007205432751704161,0.026909520007325924,0.07684349028913305
NewYorkCity,0.013726761959844666,0.02694497232091217,0.004726514087416343,0.005598198793687515,0.05010741138560688,0.028689581095596134,0.002082954639345617,0.02179542262249029,0.028014541849128317,0.010512269685202016,0.04162769561265802,0.03528174832686111,0.05673304139469553,0.043475997686524,0.026952408493761876,0.011838800297446914,0.008416921424440222,0.04202759646368669,0.014806659505907626,0.01239568701974717,0.032856316615715114,0.06827728662315129,0.03083161199702553,0.08405312732380402,0.08913203338015369,0.016778484673221516,0.03754110551103032,0.07001445922498555,0.0011542592745600263,0.0009142361398000496,0.030779971907791456,0.051911922663802366
