feature_id,coarse_cluster,fine_cluster,coarse_split_sample_jaccard,fine_split_sample_jaccard,top1_patch_support,image_support
103,C020,F027,0.925000011920929,0.9444444179534912,50107,16865
104,C021,F046,0.7322515249252319,0.7857142686843872,89155,40304
105,C023,F054,0.7857142686843872,0.8999999761581421,4195934,304167
106,C020,F027,0.925000011920929,0.9444444179534912,1271873,165301
107,C021,F046,0.7322515249252319,0.7857142686843872,853,645
108,C021,F046,0.7322515249252319,0.6153846383094788,4069,2959
109,C018,F023,0.8500000238418579,0.3499999940395355,20533,13532
110,C018,F034,0.8500000238418579,0.8333333730697632,8717,4546
111,C030,F050,0.5833333730697632,0.75,34,21
112,C007,F007,0.7272727489471436,0.5588235259056091,60011,24332
113,C015,F043,0.6919642686843872,0.8263888955116272,582205,158910
114,C011,F012,0.7381818294525146,0.2946428656578064,280667,99846
115,C006,F006,0.7666666507720947,0.8636363744735718,116558,28112
116,C018,F023,0.8500000238418579,0.625,2843,1861
117,C013,F040,0.6372092962265015,0.516339898109436,11511,7381
118,C011,F041,0.4989473521709442,0.6071428656578064,832,637
119,C025,F042,0.9285714626312256,0.9285714626312256,856633,148095
120,C029,F049,0.75,1.0,3866,1855
121,C004,F010,0.5865384340286255,0.6891025900840759,141,118
122,C007,F007,0.7272727489471436,0.8636363744735718,30430,13803
123,C018,F024,0.8500000238418579,0.5,2774,1948
124,C030,F053,0.5833333730697632,0.5,504588,108879
125,C014,F055,0.5907608866691589,0.8571428656578064,7555,6195
126,C014,F015,0.7737153768539429,0.9198718070983887,8856,4186
127,C003,F003,0.6820175647735596,0.32777780294418335,20070,12906
128,C000,F000,0.7823529243469238,0.4803921580314636,138966,63846
129,C000,F038,0.7823529243469238,0.557692289352417,249,226
130,C024,F036,0.833732008934021,0.7142857313156128,57584,29204
131,C021,F028,0.40931034088134766,0.5416666865348816,544146,159706
132,C012,F030,0.4352678656578064,0.4027777910232544,172398,56284
133,C015,F043,0.6919642686843872,0.8263888955116272,4978,2651
134,C017,F039,0.8421052694320679,0.3413461446762085,98,84
135,C002,F002,0.7000000476837158,0.6941176652908325,5364,1653
136,C008,F047,0.7809523940086365,0.3083333373069763,19610,8187
137,C006,F006,0.7666666507720947,0.8636363744735718,729,412
138,C005,F022,0.49529778957366943,0.6363636255264282,717545,136724
139,C020,F051,0.925000011920929,0.9090908765792847,31258,11534
140,C015,F016,0.07095491141080856,0.1215277761220932,79943,26845
141,C004,F004,0.4749999940395355,0.4479166567325592,639636,139749
142,C016,F019,0.7670454978942871,0.5416666269302368,114660,46118
143,C020,F051,0.925000011920929,0.9090908765792847,263690,74867
144,C021,F046,0.7322515249252319,0.7857142686843872,187888,39374
145,C005,F005,0.7248803377151489,0.4761905074119568,971,747
146,C021,F056,0.4205087423324585,0.6071428656578064,6428,3646
147,C010,F011,0.09193121641874313,0.1527777761220932,27693,15074
148,C010,F035,0.6108695268630981,0.39316239953041077,267123,90877
149,C002,F002,0.7000000476837158,0.6941176652908325,45442,20558
150,C026,F044,0.8084795475006104,0.8888888955116272,18482,10033
151,C011,F012,0.7381818294525146,0.3413461446762085,9409,4420
152,C027,F057,0.0635080635547638,0.1825396865606308,2513,1055
153,C031,F058,0.7196078300476074,0.875,4619,2296
154,C000,F000,0.4625000059604645,0.5,265623,106908
155,C003,F037,0.6165413856506348,0.7803030014038086,31202,13699
156,C027,F057,0.3660714328289032,0.3571428656578064,1678,737
157,C026,F044,0.8084795475006104,0.8888888955116272,521247,149839
158,C013,F020,0.376086950302124,0.65625,1442,1026
159,C024,F059,0.833732008934021,0.7857142686843872,73211,29641
160,C011,F017,0.7381818294525146,0.3241758346557617,6290,2781
161,C025,F042,0.9285714626312256,0.9285714626312256,406034,84689
162,C020,F051,0.925000011920929,0.9090908765792847,1552,934
163,C010,F035,0.6108695268630981,0.39316239953041077,1308806,256300
164,C001,F001,0.8333333730697632,0.47647058963775635,374151,136918
165,C019,F025,0.3767942786216736,0.38863638043403625,21240,11476
166,C013,F040,0.6372092962265015,0.47593584656715393,127,98
167,C011,F017,0.7381818294525146,0.4940476417541504,375922,87667
168,C021,F028,0.40931034088134766,0.5416666865348816,736638,171271
169,C008,F008,0.7809523940086365,0.5559440851211548,1853,974
170,C001,F031,0.8333333730697632,0.5833333730697632,22900,15708
171,C023,F033,0.5512422323226929,1.0,892033,155118
172,C025,F042,0.9285714626312256,0.9285714626312256,7200,3877
173,C024,F059,0.833732008934021,0.7857142686843872,17361,8799
174,C004,F010,0.5865384340286255,0.685606062412262,68085,29352
175,C019,F025,0.6136363744735718,0.8136363625526428,187948,65167
176,C014,F015,0.7737153768539429,0.48931625485420227,4605,2903
177,C018,F023,0.8500000238418579,0.4749999940395355,98125,48969
178,C019,F025,0.6136363744735718,0.8136363625526428,493740,185678
179,C031,F060,0.7196078300476074,0.4595959782600403,451263,101656
180,C026,F052,0.5366541147232056,0.6367521286010742,684107,114784
181,C027,F045,0.5791666507720947,0.44545453786849976,744125,154039
182,C009,F009,1.0,1.0,120624,33683
183,C018,F023,0.8500000238418579,0.3499999940395355,25389,10203
184,C005,F005,0.7248803377151489,0.4761905074119568,11585,4409
185,C031,F058,0.7196078300476074,0.875,5685,3225
186,C030,F053,0.30000001192092896,0.5595238208770752,1398645,249891
187,C029,F049,0.75,1.0,212,186
188,C004,F010,0.5865384340286255,0.6891025900840759,31898,15016
189,C021,F028,0.7322515249252319,0.75,2001,1455
190,C014,F015,0.7737153768539429,0.9198718070983887,63420,25858
191,C015,F043,0.4209558963775635,0.4759615361690521,38552,14975
192,C031,F058,0.7196078300476074,0.875,44720,22106
193,C026,F052,0.8084795475006104,0.6666666865348816,2464,1250
194,C014,F055,0.5907608866691589,0.8571428656578064,12248,8846
195,C012,F030,0.4352678656578064,0.4027777910232544,39990,21314
196,C002,F002,0.7000000476837158,0.6941176652908325,6574,4431
197,C009,F009,1.0,1.0,5373,2084
198,C012,F013,0.5821428298950195,0.5653408765792847,2660,1720
199,C003,F037,0.6165413856506348,0.7803030014038086,22337,8703
200,C013,F018,0.08702016621828079,0.20000000298023224,0,0
201,C003,F037,0.6165413856506348,0.7803030014038086,35398,24972
202,C003,F003,0.6820175647735596,0.737500011920929,30655,19817
203,C030,F050,0.5833333730697632,0.75,58314,24162
204,C010,F011,0.04020467773079872,0.0992063507437706,1264,867
205,C010,F011,0.37631577253341675,0.4047619104385376,24,22
206,C030,F053,0.30000001192092896,0.5595238208770752,1333,763
207,C010,F011,0.6108695268630981,0.5333333611488342,44441,14098
208,C021,F046,0.7322515249252319,0.7857142686843872,32452,18608
209,C013,F040,0.6372092962265015,0.516339898109436,43493,20636
210,C027,F045,0.5791666507720947,0.75,45200,18154
211,C020,F051,0.925000011920929,0.9090908765792847,2704,1263
212,C016,F019,0.7670454978942871,0.5166666507720947,326503,98092
213,C010,F011,0.6108695268630981,0.5333333611488342,283827,68283
214,C010,F011,0.6108695268630981,0.5333333611488342,2912,1717
215,C008,F047,0.7809523940086365,0.2579365074634552,43536,18768
216,C018,F034,0.8500000238418579,0.8333333730697632,254234,55128
217,C001,F031,0.8333333730697632,0.5833333730697632,53069,30740
218,C029,F049,0.75,1.0,20625,12240
219,C021,F046,0.7322515249252319,0.7857142686843872,6434,3535
220,C010,F011,0.6108695268630981,0.5333333611488342,157,97
221,C013,F020,0.376086950302124,0.65625,264482,69558
222,C023,F054,0.7857142686843872,0.8999999761581421,1415,1017
223,C012,F030,0.4352678656578064,0.4027777910232544,94884,34086
224,C020,F027,0.925000011920929,0.9444444179534912,42027,15658
225,C028,F048,0.5227272510528564,0.761904776096344,9,9
226,C013,F014,0.41479551792144775,0.7777777910232544,1684,1325
227,C031,F060,0.3645690977573395,0.12878787517547607,1,1
228,C007,F007,0.5249999761581421,0.5249999761581421,6192,3056
229,C019,F025,0.28703704476356506,0.49761903285980225,237,185
230,C006,F006,0.7666666507720947,0.8636363744735718,9,9
231,C001,F001,0.8333333730697632,0.47647058963775635,3997,2495
232,C023,F054,0.7857142686843872,0.8999999761581421,8915,5481
233,C021,F046,0.7322515249252319,0.7857142686843872,160286,49492
234,C021,F046,0.7322515249252319,0.7857142686843872,2901,1838
235,C013,F014,0.6372092962265015,0.5032680034637451,27070,7128
236,C022,F029,0.6692308187484741,0.36538460850715637,605801,119018
237,C017,F021,0.8421052694320679,0.7211538553237915,7794,3933
238,C001,F031,0.8333333730697632,0.5833333730697632,85,76
239,C024,F036,0.833732008934021,0.7142857313156128,45,34
240,C009,F009,1.0,1.0,11279,4271
241,C008,F008,0.7809523940086365,0.4707792401313782,2717,1691
242,C010,F011,0.42407405376434326,0.4583333432674408,172,123
243,C024,F059,0.833732008934021,0.7857142686843872,67,53
244,C029,F049,0.75,1.0,283,228
245,C005,F022,0.7248803377151489,0.5267379879951477,1017825,181449
246,C022,F029,0.6692308187484741,0.4375,38360,16536
247,C029,F049,0.75,1.0,7973,4907
248,C020,F051,0.925000011920929,0.9090908765792847,5547,3137
249,C000,F000,0.4625000059604645,0.5,305,249
250,C026,F044,0.8084795475006104,0.6000000238418579,164163,50274
251,C017,F021,0.8421052694320679,0.7211538553237915,64388,32101
252,C013,F040,0.6372092962265015,0.3582887649536133,272216,92952
253,C012,F013,0.4303135871887207,0.2750000059604645,18,18
254,C002,F002,0.7000000476837158,0.6941176652908325,310,192
255,C025,F042,0.9285714626312256,0.9285714626312256,2318,1423
256,C014,F015,0.7737153768539429,0.9198718070983887,34777,17191
257,C013,F014,0.41479551792144775,0.7777777910232544,6212,3990
258,C021,F028,0.019960474222898483,0.06512605398893356,13,13
259,C027,F057,0.07280220091342926,0.2420634925365448,310,224
260,C021,F056,0.4205087423324585,0.6071428656578064,4824,3950
261,C012,F013,0.5821428298950195,0.5653408765792847,16684,10328
262,C004,F010,0.5865384340286255,0.685606062412262,451,231
263,C003,F037,0.6165413856506348,0.7803030014038086,13037,6728
264,C003,F003,0.6820175647735596,0.5144230723381042,4846,1291
265,C009,F009,1.0,1.0,52832,12324
266,C012,F013,0.5821428298950195,0.6174242496490479,405333,112980
267,C020,F027,0.925000011920929,0.9444444179534912,482496,107877
268,C022,F029,0.6692308187484741,0.4375,18838,7766
269,C007,F007,0.7272727489471436,0.5588235259056091,645772,138483
270,C011,F012,0.7381818294525146,0.3413461446762085,395610,97731
271,C024,F036,0.833732008934021,0.7142857313156128,2678,1302
272,C024,F036,0.833732008934021,0.6071428656578064,33096,15581
273,C014,F061,0.5907608866691589,0.8999999761581421,0,0
274,C009,F009,1.0,1.0,33929,11660
275,C011,F041,0.4989473521709442,0.2023809552192688,11,11
276,C008,F008,0.7809523940086365,0.4707792401313782,2624,1526
277,C011,F017,0.7381818294525146,0.4940476417541504,589,469
278,C027,F045,0.5791666507720947,0.75,228893,58947
279,C001,F031,0.8333333730697632,0.5833333730697632,182651,82639
280,C013,F040,0.6372092962265015,0.516339898109436,428,281
281,C026,F052,0.8084795475006104,0.6666666865348816,29596,10995
282,C011,F012,0.7381818294525146,0.2946428656578064,26272,12483
283,C026,F052,0.5366541147232056,0.6367521286010742,2205,1576
284,C026,F052,0.5366541147232056,0.6367521286010742,545103,91369
285,C001,F001,0.8333333730697632,0.2875817120075226,12218,5112
286,C017,F021,0.8421052694320679,0.7211538553237915,4545,2847
287,C020,F051,0.925000011920929,0.9090908765792847,13540,6555
288,C013,F014,0.6372092962265015,0.5032680034637451,8193,4526
289,C011,F041,0.4989473521709442,0.6071428656578064,291793,95955
290,C011,F017,0.7381818294525146,0.4940476417541504,28370,16209
291,C001,F001,0.5161290168762207,0.13742689788341522,9,9
292,C005,F062,0.7248803377151489,0.5,204599,53910
293,C021,F056,0.4205087423324585,0.6071428656578064,426219,138033
294,C016,F019,0.7670454978942871,0.5416666269302368,115821,36581
295,C005,F022,0.7248803377151489,0.5267379879951477,162914,53078
296,C015,F016,0.4419642984867096,0.36868688464164734,10,9
297,C008,F008,0.7809523940086365,0.5559440851211548,62,53
298,C027,F045,0.5791666507720947,0.75,99509,29613
299,C017,F039,0.8421052694320679,0.3413461446762085,14529,9116
300,C025,F042,0.9285714626312256,0.9285714626312256,63505,22573
301,C021,F046,0.7322515249252319,0.7857142686843872,5909,2684
302,C010,F035,0.6108695268630981,0.4141414165496826,105,80
303,C024,F059,0.833732008934021,0.7857142686843872,56189,21860
304,C001,F001,0.8333333730697632,0.4153846204280853,7876,5880
305,C018,F034,0.8500000238418579,0.8333333730697632,96877,30335
306,C020,F051,0.925000011920929,0.9090908765792847,19274,9343
307,C004,F010,0.5865384340286255,0.6891025900840759,9691,5414
308,C019,F025,0.28703704476356506,0.49761903285980225,67671,34882
309,C026,F044,0.8084795475006104,0.8888888955116272,31,24
310,C011,F012,0.7381818294525146,0.3413461446762085,7950,4808
311,C003,F003,0.6820175647735596,0.5144230723381042,8494,3080
312,C026,F044,0.8084795475006104,0.8888888955116272,6982,3670
313,C001,F001,0.8333333730697632,0.4153846204280853,54626,25938
314,C013,F040,0.6372092962265015,0.3582887649536133,1491,895
315,C004,F010,0.5865384340286255,0.685606062412262,146267,45139
316,C030,F053,0.5833333730697632,0.5,147748,47992
317,C015,F016,0.6919642686843872,0.3162393271923065,146518,49839
318,C026,F044,0.8084795475006104,0.6000000238418579,155115,60573
319,C007,F007,0.7272727489471436,0.8636363744735718,320097,89049
320,C008,F008,0.7809523940086365,0.5559440851211548,123,62
321,C017,F021,0.8421052694320679,0.7211538553237915,15579,8046
322,C024,F036,0.833732008934021,0.6071428656578064,45401,22191
323,C013,F014,0.41479551792144775,0.7777777910232544,92,70
324,C014,F015,0.7737153768539429,0.9198718070983887,30587,17831
325,C031,F060,0.7196078300476074,0.4595959782600403,465224,121773
326,C013,F014,0.02000800333917141,0.06458333134651184,24635,11064
327,C006,F006,0.7666666507720947,0.8636363744735718,2948,1852
328,C014,F055,0.5907608866691589,0.8571428656578064,51418,28383
329,C024,F036,0.833732008934021,0.5169172883033752,2116328,256870
330,C023,F054,0.7857142686843872,0.8999999761581421,166,108
331,C027,F057,0.3660714328289032,0.3571428656578064,22764,9421
332,C025,F042,0.9285714626312256,0.9285714626312256,79085,28247
333,C012,F032,0.4303135871887207,0.4166666865348816,138608,76705
334,C014,F015,0.7737153768539429,0.9198718070983887,12202,6537
