dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D019,D399,252,0.0006651464838033609,1.7807612844611393
D359,D465,268,0.0007174754395532935,1.7807083669408597
D025,D298,2866,0.007747948745870919,1.7740526599609159
D067,D173,234,0.0006162372196913847,1.7723295919900601
D090,D498,1393,0.0036934697245773265,1.7720664732816223
D265,D505,191,0.0005054103177945248,1.7672578381672404
D035,D386,532,0.0014241034972154632,1.7669490838021367
D221,D235,457,0.0012012466543972844,1.7636100761708444
D103,D124,1721,0.004519783774258262,1.7627760476759182
D053,D148,382,0.001021979441636138,1.7616527100699844
D003,D318,256,0.0006767528719775538,1.7612025022900184
D298,D325,3482,0.009281766027448202,1.7572951917518511
D124,D406,414,0.0010855976381794782,1.7567772995412416
D025,D184,290,0.0007697768256870548,1.7563783045988808
D279,D400,205,0.000567107561344059,1.755149695511285
D144,D417,484,0.0012907763598006268,1.7527902324157583
D175,D359,745,0.0019701777292643846,1.7488553195977432
D055,D223,233,0.0006187174569052503,1.7479581424277708
D056,D505,208,0.0005468596060274191,1.7474423462534106
D007,D049,430,0.0011357837007863417,1.7472250095066453
D124,D494,278,0.00072919741834365,1.7435293089329333
D173,D179,396,0.001040871272136836,1.738815135990312
D056,D124,2104,0.005511760497248011,1.7352565898992078
D207,D305,275,0.0007246402993001699,1.7333673582178521
D130,D465,193,0.0005154588190712019,1.7243093465554995
D278,D373,592,0.0015848486306012375,1.7233728668162154
D318,D341,669,0.0018027143296521324,1.7232151270404583
D053,D278,341,0.0009220901128470537,1.7213646753936789
D112,D451,1688,0.004485410321190728,1.7194923903433388
D456,D465,985,0.00264345333469964,1.7157075163877984
D251,D394,277,0.0007303142082729878,1.7146977622103234
D165,D458,382,0.0010062875777275646,1.7135667075561734
D356,D508,390,0.001025373191231819,1.71274459825373
D167,D505,1337,0.003545643149809902,1.7111873495453374
D124,D383,256,0.0006743832216317557,1.7107117842132822
D025,D199,519,0.0013783297474078652,1.7051959391780511
D067,D434,620,0.0016303506510890544,1.7041069127822988
D278,D389,190,0.0005080626525820644,1.7036168620534893
D090,D354,865,0.0023042623446180633,1.7020096890360261
D318,D498,713,0.001899757114896185,1.6953803807020909
