dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D182,D209,211,0.0005559000992130599,1.3706994144910551
D016,D395,293,0.0007742693025557834,1.3704588953612513
D173,D479,236,0.0006204771962014975,1.3682872273552495
D434,D451,842,0.0022239886500161643,1.36687757776587
D042,D325,4705,0.012455582534050968,1.3644841558174818
D015,D287,240,0.0006296583153707179,1.3636707282551968
D049,D508,237,0.0006244701596598189,1.3622707831875973
D164,D511,341,0.0009370801556566732,1.360949081713195
D224,D442,1694,0.004451968459455141,1.3607971440420148
D216,D391,229,0.0006000867320080475,1.3606885332168688
D078,D267,679,0.001781408052186902,1.3574635580828014
D292,D318,1444,0.0038584988959921795,1.3563647941708277
D113,D448,342,0.0008952798062407556,1.3562846272888571
D441,D456,271,0.0007128127124942397,1.3524831832785051
D143,D454,2227,0.005868757685856495,1.3509664468168354
