city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
Osaka,most_similar,5,Taipei,0.9558608859836477,0.1511495349031902
Osaka,most_different,1,Lagos,0.8321061496145745,0.263362844329259
Osaka,most_different,2,Johannesburg,0.8877172431823644,0.2222648819455583
Osaka,most_different,3,Dhaka,0.8900315482702627,0.22960780638704648
Osaka,most_different,4,Amsterdam,0.8971739617027851,0.220330812079804
Osaka,most_different,5,KualaLumpur,0.8999583517219376,0.21376158695317965
KualaLumpur,most_similar,1,Singapore,0.9793915762857287,0.10098684221174525
KualaLumpur,most_similar,2,Bangkok,0.96948543945624,0.1099167056850991
KualaLumpur,most_similar,3,Moscow,0.9672541994318647,0.13199546325745362
KualaLumpur,most_similar,4,Manila,0.962091867310688,0.12165731859633054
KualaLumpur,most_similar,5,Jakarta,0.9607153462438077,0.12754875295439916
KualaLumpur,most_different,1,Osaka,0.8999583517219376,0.21376158695317965
KualaLumpur,most_different,2,Lima,0.9044643471296363,0.19537625144125492
KualaLumpur,most_different,3,BuenosAires,0.9107427810216776,0.18196221565585718
KualaLumpur,most_different,4,Istanbul,0.9136795059433895,0.1906205028005342
KualaLumpur,most_different,5,LosAngeles,0.914937531163273,0.19191544125016846
MexicoCity,most_similar,1,SaoPaulo,0.9887951047288788,0.06888442096052892
MexicoCity,most_similar,2,Bogota,0.9804912420445274,0.11369521379203407
MexicoCity,most_similar,3,BuenosAires,0.9770677741372867,0.12071942671093541
MexicoCity,most_similar,4,Lima,0.9744016320785591,0.11854962650632467
MexicoCity,most_similar,5,CapeTown,0.9708001319583416,0.140279523956597
MexicoCity,most_different,1,Amsterdam,0.8744780959678924,0.21719148061047427
MexicoCity,most_different,2,Dhaka,0.8844394770356215,0.19717796550076894
MexicoCity,most_different,3,Lagos,0.9036344026685016,0.1966981128099646
MexicoCity,most_different,4,Singapore,0.9148643576427531,0.18090175132398262
MexicoCity,most_different,5,Jakarta,0.9253161994601558,0.16649371258646453
Amsterdam,most_similar,1,London,0.9640494277640009,0.13520316407765112
Amsterdam,most_similar,2,Paris,0.9460600857651074,0.14281700579380419
Amsterdam,most_similar,3,Moscow,0.9457917528556998,0.17542555336654714
Amsterdam,most_similar,4,KualaLumpur,0.9420785284525515,0.17141129473800443
Amsterdam,most_similar,5,Singapore,0.9401313471194979,0.18425961869767932
Amsterdam,most_different,1,LosAngeles,0.8551291916501514,0.24639550566862167
Amsterdam,most_different,2,CapeTown,0.8585776873761832,0.22397314126532103
Amsterdam,most_different,3,Lima,0.8681247151903303,0.2290233320011496
Amsterdam,most_different,4,MexicoCity,0.8744780959678924,0.21719148061047427
Amsterdam,most_different,5,BuenosAires,0.8807323458501183,0.20977549226595157
