dimension_id,available_top1_count,available_top3_count,umap_fit_top1_count,umap_fit_top3_count,high_response_candidate_pool,selected_high_response_representatives,representative_city_count,target_count,quota_satisfied
D316,223,1012,49,179,2000,354,29,100,True
D317,157,670,37,115,2000,361,29,100,True
D318,210,916,31,145,2000,379,26,100,True
D319,661,2162,122,331,2000,330,26,100,True
D320,475,1684,96,300,2000,362,29,100,True
D321,656,2053,89,327,2000,366,26,100,True
D322,484,1762,74,301,2000,359,29,100,True
D323,1005,2755,156,404,2000,335,30,100,True
D324,640,2142,98,333,2000,352,29,100,True
D325,618,2172,70,335,2000,346,27,100,True
D326,689,2297,118,409,2000,401,30,100,True
D327,1129,2920,185,473,2000,396,30,100,True
D328,1017,2922,174,457,2000,372,26,100,True
D329,1187,3398,198,546,2000,357,29,100,True
D330,759,2129,139,388,2000,384,30,100,True
D331,1798,4266,264,673,2000,352,24,100,True
D332,480,1595,71,239,2000,353,27,100,True
D333,968,2722,138,390,2000,337,30,100,True
D334,228,1033,66,198,2000,348,27,100,True
D335,501,1790,90,290,2000,354,26,100,True
D336,247,1129,62,206,2000,355,29,100,True
D337,871,2584,150,416,2000,357,25,100,True
D338,381,1728,66,291,2000,375,30,100,True
D339,297,1245,73,216,2000,357,29,100,True
D340,523,1811,96,299,2000,363,27,100,True
D341,475,1574,89,263,2000,361,30,100,True
D342,719,2367,159,427,2000,372,27,100,True
D343,725,2380,104,362,2000,373,30,100,True
D344,389,1848,64,312,2000,367,27,100,True
D345,257,1029,62,198,2000,374,29,100,True
D346,555,1764,122,330,2000,394,29,100,True
D347,761,2235,146,374,2000,384,30,100,True
D348,407,1407,95,249,2000,365,29,100,True
D349,768,2387,158,417,2000,409,29,100,True
D350,643,1984,85,306,2000,389,28,100,True
D351,690,1862,146,334,2000,411,30,100,True
D352,1627,3923,275,617,2000,391,28,100,True
D353,637,2252,131,367,2000,357,22,100,True
D354,771,2457,138,402,2000,388,28,100,True
D355,370,1365,66,256,2000,402,29,100,True
D356,1335,3301,221,541,2000,378,26,100,True
D357,945,2724,153,465,2000,382,29,100,True
D358,1154,2989,193,488,2000,382,30,100,True
