element_id,held_out_r2,median_r2,p90_r2,maximum_r2,strong_r2_threshold,n_strongly_nuisance_sensitive,n_images,validation_images,predictors,city_centered
F038,0.00029660937982023405,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F039,0.0012752230780537221,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F040,0.0017214017060080966,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F041,0.000628415405951821,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F042,0.001345491974947044,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F043,0.00043484207017474574,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F044,0.007771866885550427,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F045,0.0011038266654846973,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F046,0.0005349655029632805,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F047,0.0008159089500476835,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F048,5.424286278721269e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F049,0.0031111246687589578,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F050,0.003981451315298812,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F051,0.0008760922097365009,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F052,0.002357082456879933,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F053,0.002777571254498401,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F054,0.0014634408362830253,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F055,0.00034630830461135353,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F056,0.002668049705440545,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F057,0.004301615044188578,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F058,0.0022713236891176436,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F059,0.00017667883479577373,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F060,0.000678229210082204,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F061,0.0006537493060015942,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F062,4.927852272551547e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F063,-2.7346389095628254e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
