city_key,city,element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,visual_distance,pair_stability,city_images,rest_images,city_n11,city_n10,city_n01,city_n00,rest_n11,rest_n10,rest_n01,rest_n00,city_expected,city_pearson_residual,global_pearson_residual,delta_residual_vs_global,requested_city_score,city_log_odds,rest_log_odds,delta_log_odds,delta_log_odds_se,z_city_vs_rest,p_value_upper,city_atypicality_index,q_value_within_city,q_value_global_bh,passes_city_support,significant_city_specific
Turkey/Istanbul,Istanbul,F011,F058,road_edge,shaded alley,C010,C031,False,0.9101736972704715,0.5802747302151703,12704,366114,1150,635,3774,7145,35448,23653,129550,177463,691.8561083123426,17.417828528929498,56.19667459933433,-38.77884607040483,0.0,1.2317546831880817,0.7192640308869828,0.5124906523010989,0.054143109846243924,9.465482380980227,1.4610459129781858e-21,0.46645551182144684,2.9454685605640226e-19,3.424963442516305e-19,True,True
Turkey/Istanbul,Istanbul,F009,F044,highlighted road,road_and_buildings,C009,C026,False,0.7583126550868486,0.90812519427329,12704,366114,91,991,739,10883,1324,28753,19519,316518,70.691120906801,2.415480412319434,-8.708171552575608,11.123651964895043,8.4352060557616,0.3061489020256622,-0.29175674344424923,0.5979056454699114,0.11927217749645812,5.012951536729232,2.6800700374682e-07,0.45339941750770457,9.005035325893153e-06,9.434844928176759e-06,True,True
Turkey/Istanbul,Istanbul,F010,F019,green_wall,road_and_building,C004,C016,False,0.8590570719602978,0.5605551906034361,12704,366114,820,6493,316,5075,4334,110398,7897,243485,653.933249370277,6.49405523524488,12.914682227109235,-6.4206269918643555,0.0,0.7062140346202556,0.19102085533324176,0.5151931792870138,0.0714132086090438,7.214256148431476,2.71147958076176e-13,0.4425803440922188,2.6030203975312893e-11,2.5424850394491662e-11,True,True
Turkey/Istanbul,Istanbul,F017,F058,building facade,shaded alley,C011,C031,False,0.9826302729528535,0.6186455942281022,12704,366114,198,172,4726,7608,14890,15547,150108,185569,143.40994962216624,4.558519883593743,10.797339184059842,-6.2388193004660994,0.0,0.6164729361505609,0.16889468072130762,0.4475782554292532,0.10640214481055586,4.206477756873658,1.2969079977502015e-05,0.4398039433002091,0.000278145374836639,0.00031175276511896736,True,True
Turkey/Istanbul,Istanbul,F016,F058,construction scaffolding,shaded alley,C015,C031,False,0.8501240694789082,0.528901676088237,12704,366114,113,145,4811,7635,3861,6210,161137,194906,99.99937027707809,1.3000670657087923,-9.68393995396669,10.98400701967548,9.337768746751413,0.21342628890669088,-0.28492378035063026,0.49835006925732117,0.12827138577049077,3.8851226738049958,5.113911526969463e-05,0.4236593889021296,0.0009178899357912425,0.001051289494055449,True,True
Turkey/Istanbul,Istanbul,F044,F046,road_and_buildings,window_heat_zone,C026,C021,False,0.6952853598014889,0.7808085204850256,12704,366114,59,771,647,11227,1727,19116,37535,307736,46.125629722921914,1.895635535867992,-10.469815556360519,12.365451092228511,8.597517111767814,0.2906422521365688,-0.2999198143230895,0.5905620664596583,0.14281960841524802,4.135020905130891,1.774611625333419e-05,0.4106091588635143,0.00036882649862599726,0.0004137567891293955,True,True
Turkey/Istanbul,Istanbul,F044,F057,road_and_buildings,streetlight illumination,C026,C027,False,0.8411910669975186,0.4668556003687983,12704,366114,205,625,2763,9111,5068,15775,111233,234038,193.91057934508817,0.7963575575343479,-18.771653232704622,19.56801079023897,16.460435875660075,0.0799340636821156,-0.3915591515069783,0.4714932151890939,0.08491443815645779,5.552568272551617,1.407513575395609e-08,0.3966158807670045,6.168581234777279e-07,6.33381108928024e-07,True,True
Indonesia/Jakarta,Jakarta,F013,F058,tree-lined_driveway,shaded alley,C012,C031,False,0.9870967741935484,0.6715418703493187,12767,366051,1593,3770,1102,6302,92393,112635,74834,86189,1132.0815383410354,13.698885940869319,-1.2586292557181464,14.957515196587465,14.764515000502465,0.8820912879557633,-0.05683095956239422,0.9389222475181576,0.04475633517224443,20.978532846908088,5.151156510006951e-98,0.9268071217437297,1.0384731524174013e-94,1.0384731524174012e-93,True,True
Indonesia/Jakarta,Jakarta,F011,F058,road_edge,shaded alley,C010,C031,False,0.9101736972704715,0.5802747302151703,12767,366051,646,709,2049,9363,35952,23579,131275,175245,286.02843267799796,21.284507023219515,56.19667459933433,-34.91216757611481,0.0,1.4262359928679855,0.7107106119711137,0.7155253808968718,0.06028684169442247,11.86868246513351,8.607874496402982e-33,0.6512523814217682,2.1691843730935516e-30,5.00581009175435e-30,True,True
Indonesia/Jakarta,Jakarta,F021,F038,road_and_building,red-yellow hotspot,C017,C000,False,0.9622828784119106,0.6189612062922315,12767,366051,140,7137,77,5413,1395,160444,2503,201709,123.6867705804026,1.4668250520023838,-7.04749601679108,8.514321068793464,8.19318538580175,0.31846281120118647,-0.35555652366654045,0.6740193348677269,0.1465357025200377,4.599693612384733,2.1155639244629972e-06,0.6485972656617978,5.201191306972442e-05,6.151408949592407e-05,True,True
Indonesia/Jakarta,Jakarta,F007,F038,roof_and_eaves,red-yellow hotspot,C007,C000,False,0.8307692307692308,0.6426585900977407,12767,366051,148,6030,69,6520,1277,109516,2621,252637,105.00712775123365,4.195532315416441,4.33079800424199,-0.135265688825549,0.0,0.8373793397456668,0.11703880218393145,0.7203405375617353,0.1503961811002694,4.789619871275076,8.354877709208336e-07,0.5984367542820571,2.2162412449689483e-05,2.6580904989632834e-05,True,True
Indonesia/Jakarta,Jakarta,F004,F044,highlighted_buildings,road_and_buildings,C004,C026,False,0.9136476426799007,0.7827368384299185,12767,366051,81,1328,506,10852,1503,33794,19583,311171,64.78287773165191,2.014854423270093,-11.260616016164999,13.275470439435091,12.129102272456578,0.27342367853195937,-0.3468455117330538,0.6202691902650131,0.12584962464950458,4.928653478248216,4.1399139002060606e-07,0.5667074835126001,1.2456815556440924e-05,1.3941090906707267e-05,True,True
Indonesia/Jakarta,Jakarta,F036,F058,pedestrian walk,shaded alley,C024,C031,False,0.8213399503722084,0.7291635860934351,12767,366051,1463,3745,1232,6327,85426,101007,81801,97817,1099.3624187358032,10.967264486551993,3.1611169892410045,7.806147497310989,6.411500798039547,0.6961362942464369,0.011269502389606294,0.6848667918568305,0.044314037403540986,15.454849794437939,3.498725653083706e-54,0.5625084568352627,2.3511436388722503e-51,8.13857413455779e-51,True,True
