cityname,countryname,lon,lat,metadata_status,success,failed,status
Bamako,Mali,-7.976569462481712,12.617862149052758,>0,1,0,collected_other
Barcelona,Spain,2.166995892743358,41.46196871613342,>0,1,0,collected_other
Tashkent,Uzbekistan,69.25736222861529,41.29095591974457,0,0,1,failed
Kathmandu,Nepal,85.34298438261543,27.69335046561001,>0,1,0,collected_other
Recife,Brazil,-34.924513572459425,-8.03774699505378,>0,1,0,collected_other
Damascus,Syria,36.31451914354079,33.49102172345281,0,0,1,failed
SanaA,Yemen,44.20637247742262,15.36809854081448,0,0,1,failed
KuwaitCity,Kuwait,48.01151181893818,29.25194313410764,0,0,1,failed
Ankara,Turkey,32.84388454559326,39.953632520790336,>0,1,0,collected_other
Savar,Bangladesh,90.2143492565925,23.941295819502532,>0,1,0,collected_other
Lusaka,Zambia,28.295964432845217,-15.399419262637164,0,0,1,failed
Ouagadougou,BurkinaFaso,-1.5312275774033342,12.367722906415942,0,0,1,failed
KasaiOriental,DemocraticRepublicOfTheCongo,23.60594019764403,-6.123462173130489,0,0,1,failed
Karaj,Iran,50.967304877921016,35.77531129220453,0,0,1,failed
Berlin,Germany,13.400544030250773,52.503150140392165,>0,1,0,collected_other
Maputo,Mozambique,32.55012420759602,-25.854950216618782,0,0,1,failed
Algiers,Algeria,3.077440731011237,36.73056001467993,0,0,1,failed
Durban,SouthAfrica,30.934312694957583,-29.852241512996525,>0,1,0,collected_other
Busan,SouthKorea,129.0574380207106,35.15606661260035,>0,1,0,collected_other
Guayaquil,Ecuador,-79.90671111931633,-2.1566727585819994,>0,1,0,collected_other
Montreal,Canada,-73.6659505171047,45.53496737152113,>0,1,0,collected_other
Medellin,Colombia,-75.58388279115685,6.242128734333825,>0,1,0,collected_other
CebuCity,Philippines,123.89610213469285,10.307299982350404,>0,1,0,collected_other
Brazzaville,RepublicOfTheCongo,15.2545620915965,-4.243927160033448,0,0,1,failed
Athens,Greece,23.73674581100481,37.99347327558508,>0,1,0,collected_other
Milan,Italy,9.186883206891142,45.54447176387791,>0,1,0,collected_other
Aleppo,Syria,37.128430562495126,36.20126674128562,0,0,1,failed
Coyah,Guinea,-13.535842774801136,9.67528023177937,0,0,1,failed
HongKong,China,114.17062385538081,22.311750052480583,>0,1,0,research
Vienna,Austria,16.3757672465971,48.19524275644841,>0,1,0,collected_other
Kyoto,Japan,135.7273637948802,35.10611536619255,>0,1,0,collected_other
