sample_id,archetype_id,feature_type,rank,feature_id,value,count
S04,A04,edge,10,F010-F022,0.01373626384884119,5
S04,A04,activation,1,D447,2.1875,2
S04,A04,activation,2,D205,2.115234375,0
S04,A04,activation,3,D274,2.115234375,0
S04,A04,activation,4,D367,2.107421875,0
S04,A04,activation,5,D072,2.068359375,0
S04,A04,activation,6,D394,2.03515625,5
S04,A04,activation,7,D252,2.01953125,5
S04,A04,activation,8,D260,1.921875,0
S04,A04,activation,9,D339,1.916015625,1
S04,A04,activation,10,D299,1.8681640625,0
S05,A05,node,1,F010,0.11734694242477417,23
S05,A05,node,2,F028,0.1071428582072258,21
S05,A05,node,3,F045,0.09183673560619354,18
S05,A05,node,4,F022,0.05612244829535484,11
S05,A05,node,5,F060,0.051020409911870956,10
S05,A05,node,6,F002,0.051020409911870956,10
S05,A05,node,7,F054,0.051020409911870956,10
S05,A05,node,8,F035,0.051020409911870956,10
S05,A05,node,9,F036,0.04591836780309677,9
S05,A05,node,10,F040,0.04591836780309677,9
S05,A05,edge,1,F028-F045,0.016483517363667488,6
S05,A05,edge,2,F035-F040,0.016483517363667488,6
S05,A05,edge,3,F028-F046,0.01373626384884119,5
S05,A05,edge,4,F028-F040,0.01373626384884119,5
S05,A05,edge,5,F030-F060,0.01373626384884119,5
S05,A05,edge,6,F002-F022,0.010989011265337467,4
S05,A05,edge,7,F036-F042,0.010989011265337467,4
S05,A05,edge,8,F022-F028,0.010989011265337467,4
S05,A05,edge,9,F040-F060,0.008241758681833744,3
S05,A05,edge,10,F002-F045,0.008241758681833744,3
S05,A05,activation,1,D506,3.88671875,2
S05,A05,activation,2,D214,2.677734375,0
S05,A05,activation,3,D298,2.572265625,8
S05,A05,activation,4,D049,2.529296875,10
S05,A05,activation,5,D256,2.427734375,0
S05,A05,activation,6,D418,2.408203125,23
S05,A05,activation,7,D127,2.400390625,1
S05,A05,activation,8,D008,2.37109375,0
S05,A05,activation,9,D349,2.359375,0
S05,A05,activation,10,D096,2.28515625,0
S06,A06,node,1,F053,0.1071428582072258,21
S06,A06,node,2,F010,0.08163265138864517,16
S06,A06,node,3,F036,0.07653061300516129,15
S06,A06,node,4,F021,0.07653061300516129,15
S06,A06,node,5,F013,0.07653061300516129,15
S06,A06,node,6,F045,0.06122449040412903,12
S06,A06,node,7,F054,0.051020409911870956,10
S06,A06,node,8,F035,0.04591836780309677,9
S06,A06,node,9,F022,0.04591836780309677,9
S06,A06,node,10,F011,0.04591836780309677,9
S06,A06,edge,1,F021-F022,0.021978022530674934,8
S06,A06,edge,2,F028-F056,0.016483517363667488,6
S06,A06,edge,3,F004-F010,0.016483517363667488,6
S06,A06,edge,4,F011-F035,0.01373626384884119,5
S06,A06,edge,5,F021-F053,0.01373626384884119,5
S06,A06,edge,6,F010-F053,0.01373626384884119,5
S06,A06,edge,7,F010-F013,0.01373626384884119,5
S06,A06,edge,8,F051-F053,0.01373626384884119,5
S06,A06,edge,9,F036-F054,0.010989011265337467,4
S06,A06,edge,10,F036-F053,0.010989011265337467,4
S06,A06,activation,1,D027,2.841796875,2
S06,A06,activation,2,D452,2.5,0
S06,A06,activation,3,D076,2.435546875,0
S06,A06,activation,4,D306,2.271484375,0
S06,A06,activation,5,D061,2.08984375,0
S06,A06,activation,6,D084,1.9765625,1
S06,A06,activation,7,D313,1.955078125,1
S06,A06,activation,8,D457,1.947265625,1
S06,A06,activation,9,D315,1.912109375,4
S06,A06,activation,10,D233,1.865234375,2
S07,A07,node,1,F054,0.11734694242477417,23
S07,A07,node,2,F021,0.08163265138864517,16
S07,A07,node,3,F058,0.08163265138864517,16
S07,A07,node,4,F001,0.07653061300516129,15
S07,A07,node,5,F053,0.06632652878761292,13
S07,A07,node,6,F008,0.051020409911870956,10
S07,A07,node,7,F010,0.051020409911870956,10
S07,A07,node,8,F045,0.04591836780309677,9
S07,A07,node,9,F011,0.04591836780309677,9
S07,A07,node,10,F029,0.040816325694322586,8
S07,A07,edge,1,F021-F054,0.0357142873108387,13
S07,A07,edge,2,F001-F011,0.021978022530674934,8
S07,A07,edge,3,F008-F045,0.016483517363667488,6
