source,target,relation,score,support,q_value
277,571,specializes,0.651036,643,2.6171105429772293e-217
279,420,specializes,0.335996,469,0.0
453,294,specializes,0.68442,412,8.6992201e-316
482,294,specializes,0.656097,554,0.0
295,396,specializes,0.443258,1890,0.0
295,758,specializes,0.480638,1931,0.0
304,860,specializes,0.626904,198,4.873215308817829e-209
672,308,specializes,0.787805,109,8.307749039764381e-53
813,308,specializes,0.897356,71,2.0162727196873965e-41
314,434,specializes,0.293118,743,0.0
314,565,specializes,0.522525,892,0.0
900,314,specializes,0.417755,366,0.0
325,417,specializes,0.808429,1287,0.0
328,405,specializes,0.564762,4417,3.4826122913829224e-07
335,940,specializes,0.486048,1418,0.0
703,338,specializes,0.489967,1946,0.0
852,338,specializes,0.525383,1586,1.2857005531129842e-288
990,338,specializes,0.537817,1435,1.8475652519762995e-243
993,338,specializes,0.560435,1804,0.0
341,858,specializes,0.71906,484,0.0
378,342,specializes,0.50685,366,1.2082411030529087e-279
716,342,specializes,0.674001,339,4.745060495506e-312
842,342,specializes,0.584383,295,2.8046453966132935e-230
343,873,specializes,0.619863,290,0.0
983,343,specializes,0.829352,50,2.44889632350371e-85
355,434,specializes,0.415575,613,0.0
355,565,specializes,0.547609,630,0.0
355,975,specializes,0.256131,573,0.0
472,361,specializes,0.529479,227,2.9834293933076357e-236
584,361,specializes,0.507562,232,6.209992897988033e-238
361,858,specializes,0.548889,714,0.0
381,401,specializes,0.444219,903,0.0
618,391,specializes,0.678576,587,4.344042462503713e-80
799,391,specializes,0.693969,612,7.887923703026219e-92
525,396,specializes,0.525514,1279,0.0
622,396,specializes,0.472839,1795,0.0
727,396,specializes,0.26172,2529,0.0
840,396,specializes,0.830852,652,3.197685188158203e-282
898,396,specializes,0.589211,1265,0.0
1013,396,specializes,0.451873,1906,0.0
969,401,specializes,0.492534,789,0.0
470,402,specializes,0.632784,574,4.5653973797145575e-154
633,402,specializes,0.785681,175,1.8875840146690042e-54
766,402,specializes,0.686685,467,1.7131073049798367e-135
781,402,specializes,0.664287,1177,0.0
404,1016,specializes,0.579099,1710,1.4102962017624703e-245
566,405,specializes,0.542635,4985,1.9951718612369047e-35
787,405,specializes,0.58284,4317,4.350584884503685e-15
829,405,specializes,0.703065,2996,4.929068065810837e-23
874,405,specializes,0.631319,4127,7.50351352404912e-64
928,405,specializes,0.753188,2146,4.356823399130853e-07
517,414,specializes,0.650133,182,2.982867724352942e-127
633,415,specializes,0.70622,170,6.864474292765308e-114
766,415,specializes,0.540282,476,0.0
540,417,specializes,0.398467,2666,0.0
597,420,specializes,0.56231,389,0.0
872,420,specializes,0.494737,330,1.08091e-318
426,819,specializes,0.425703,1667,0.0
453,432,specializes,0.633387,387,1.295566577827303e-280
482,432,specializes,0.547396,472,0.0
561,434,specializes,0.528127,441,0.0
572,434,specializes,0.279222,791,0.0
683,434,specializes,0.515341,569,0.0
772,434,specializes,0.326356,718,0.0
889,434,specializes,0.413325,567,0.0
900,434,specializes,0.634332,413,0.0
435,758,specializes,0.461695,1816,0.0
875,435,specializes,0.584834,522,2.703e-321
732,461,specializes,0.437548,728,0.0
463,571,specializes,0.605171,645,1.7281639658339945e-192
463,998,specializes,0.616219,677,3.782674501652532e-257
465,542,specializes,0.583547,489,0.0
465,759,specializes,0.485152,431,6.444896605346595e-308
465,775,specializes,0.719622,557,0.0
465,883,specializes,0.457287,439,0.0
465,971,specializes,0.736128,514,2.5457435847480226e-289
472,858,specializes,0.78772,254,4.104944066649519e-172
475,537,specializes,0.255178,2439,0.0
475,731,specializes,0.358108,2764,0.0
493,718,specializes,0.580679,539,0.0
494,624,specializes,0.353251,3181,0.0
496,780,specializes,0.378618,2754,0.0
501,571,specializes,0.604388,736,1.5034933400170957e-235
503,626,specializes,0.504214,1991,1.6415027527544725e-140
840,504,specializes,0.75485,651,0.0
512,858,specializes,0.767049,188,3.381339917903584e-116
969,522,specializes,0.269804,704,0.0
525,758,specializes,0.587706,1382,0.0
531,626,specializes,0.665193,2173,0.0
853,537,specializes,0.326714,2151,0.0
978,537,specializes,0.623679,1155,0.0
1015,537,specializes,0.675465,772,1.4469175770243807e-234
538,946,specializes,0.700981,560,3.153941583666112e-75
540,946,specializes,0.369244,2623,0.0
803,541,specializes,0.344708,1214,0.0
542,971,specializes,0.36848,1543,0.0
550,758,specializes,0.423247,1892,0.0
557,860,specializes,0.455816,283,2.787131527327215e-283
561,565,specializes,0.666649,480,0.0
561,572,specializes,0.347962,412,0.0
561,975,specializes,0.395352,409,0.0
572,565,specializes,0.452299,831,0.0
683,565,specializes,0.614309,560,0.0
772,565,specializes,0.537967,833,0.0
889,565,specializes,0.616569,670,0.0
900,565,specializes,0.742695,430,0.0
923,565,specializes,0.824762,347,2.8455216728397993e-294
975,565,specializes,0.393087,931,0.0
567,747,specializes,0.61764,958,0.0
602,571,specializes,0.631407,681,8.911970303652086e-225
683,572,specializes,0.271927,492,0.0
900,572,specializes,0.458971,388,0.0
573,802,specializes,0.363207,1252,0.0
603,574,specializes,0.895521,62,2.2754367563581683e-65
1001,578,specializes,0.568282,141,1.038111695155171e-177
584,858,specializes,0.863304,292,1.5819848361197026e-236
1003,586,specializes,0.583648,369,1.2164461919292543e-233
736,593,specializes,0.644363,700,0.0
598,731,specializes,0.328223,2604,0.0
1015,598,specializes,0.663187,857,0.0
815,606,specializes,0.534384,343,0.0
607,828,specializes,0.357681,195,2.16499637394e-312
607,1011,specializes,0.576772,215,0.0
609,780,specializes,0.490616,2199,0.0
614,858,specializes,0.677,361,2.3012421896505603e-223
622,758,specializes,0.527539,1899,0.0
698,624,specializes,0.433928,2946,0.0
896,626,specializes,0.55173,2757,0.0
936,626,specializes,0.671956,1356,4.748264649699771e-162
633,706,specializes,0.694559,169,4.709543962231163e-118
633,781,specializes,0.635885,162,8.367701423280585e-127
843,641,specializes,0.390442,706,0.0
853,653,specializes,0.291372,2125,0.0
978,653,specializes,0.626049,1192,0.0
1015,653,specializes,0.70793,823,2.421e-320
710,654,specializes,0.373016,141,5.20731765069787e-199
689,656,specializes,0.432251,1856,0.0
668,951,specializes,0.593742,915,1.4438795355493962e-156
671,940,specializes,0.702111,892,0.0
683,975,specializes,0.323885,480,0.0
692,731,specializes,0.510851,1493,0.0
1015,692,specializes,0.417739,749,0.0
