sample_id,rank,dimension_id,image_activation_top20,global_top_semantic,global_top_semantic_share,global_top3_semantic_share,assessment
P08,5,161,3.1875,Sky,0.95567236328125,0.9996723632812501,clear_single_semantic
P08,6,164,3.1328125,Vegetation,0.5224132561683654,0.703256456375122,low_mapillary_specificity
P09,1,171,3.34375,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P09,2,278,3.083984375,Building,0.9390323181152344,0.991138635635376,clear_single_semantic
P09,3,119,3.068359375,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P09,4,292,3.0546875,Building,0.92976806640625,0.9923352966308593,clear_single_semantic
P09,5,503,2.939453125,Building,0.9024129886627197,0.9855558609962464,clear_single_semantic
P09,6,436,2.92578125,Road,0.5669994735717774,0.8059714984893799,clear_single_semantic
P10,1,171,3.513671875,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P10,2,372,3.310546875,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P10,3,161,3.1796875,Sky,0.95567236328125,0.9996723632812501,clear_single_semantic
P10,4,180,3.03515625,Sky,0.9733043212890625,0.9901846923828125,clear_single_semantic
P10,5,31,3.009765625,Road,0.47699861955642703,0.8153650922775268,coherent_semantic_mixture
P10,6,477,2.986328125,Bridge,0.3248274612426758,0.7304275150299072,spatial_artifact_candidate
P11,1,105,3.185546875,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P11,2,372,3.126953125,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P11,3,270,3.060546875,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P11,4,335,3.015625,Road,0.27458690834045413,0.6590480256080629,spatial_artifact_candidate
P11,5,442,2.98046875,Road,0.2183099808692932,0.5467950472831726,spatial_artifact_candidate
P11,6,119,2.97265625,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P12,1,372,4.02734375,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P12,2,105,3.771484375,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P12,3,213,3.462890625,Barrier,0.4130151753425598,0.6749602603912354,low_mapillary_specificity
P12,4,419,3.37890625,Fence,0.23817074632644653,0.5445407900810242,spatial_artifact_candidate
P12,5,31,3.30078125,Road,0.47699861955642703,0.8153650922775268,coherent_semantic_mixture
P12,6,270,3.263671875,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P13,1,171,3.390625,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P13,2,329,3.265625,Car,0.6816746082305908,0.9588723740577698,clear_single_semantic
P13,3,119,3.048828125,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P13,4,105,3.02734375,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P13,5,25,3.0,Bridge,0.6517137298583985,0.8639324016571045,clear_single_semantic
