city_key,archetype_id,n_images,city_prevalence,global_prevalence,prevalence_ratio
Peru/Lima,A05,1011,0.07968786947268858,0.11752873411506318,0.6780288248035788
Peru/Lima,A06,763,0.06014030109560968,0.11573895643818403,0.5196202121256425
Peru/Lima,A07,2315,0.18247024513281312,0.11513972408914043,1.5847722979737717
Peru/Lima,A08,2992,0.2358319539686293,0.11123547455506338,2.120114602935313
Philippines/Manila,A01,2920,0.22871465496984414,0.14891583821254534,1.535865208933674
Philippines/Manila,A02,2447,0.1916660139421947,0.13735091785501216,1.3954476383224292
Philippines/Manila,A03,1940,0.15195425706900603,0.13343082958043176,1.1388241948792532
Philippines/Manila,A04,829,0.06493303046917835,0.12065952515455972,0.5381508868529186
Philippines/Manila,A05,1446,0.11326075037205295,0.11752873411506318,0.9636856146273831
Philippines/Manila,A06,845,0.06618626145531448,0.11573895643818403,0.5718581149525436
Philippines/Manila,A07,1091,0.08545468786715751,0.11513972408914043,0.7421824964683695
Philippines/Manila,A08,1249,0.09783034385525183,0.11123547455506338,0.8794887084949163
Russia/Moscow,A01,838,0.06576159460095739,0.14891583821254534,0.44160242046985526
Russia/Moscow,A02,1708,0.1340343718119752,0.13735091785501216,0.9758534846739217
Russia/Moscow,A03,2565,0.20128698108765597,0.13343082958043176,1.5085492739616124
Russia/Moscow,A04,2048,0.1607156870438672,0.12065952515455972,1.3319767903776951
Russia/Moscow,A05,2166,0.16997567291846505,0.11752873411506318,1.4462477980240576
Russia/Moscow,A06,1175,0.09220748646315624,0.11573895643818403,0.7966849650351228
Russia/Moscow,A07,884,0.06937141960291925,0.11513972408914043,0.6024977057371819
Russia/Moscow,A08,1359,0.10664678647100369,0.11123547455506338,0.9587479794335914
Singapore/Singapore,A01,472,0.03722103935020898,0.14891583821254534,0.24994681423398327
Singapore/Singapore,A02,2821,0.22245879662487186,0.13735091785501216,1.619638223748164
Singapore/Singapore,A03,2080,0.16402491917041243,0.13343082958043176,1.2292880115201459
Singapore/Singapore,A04,1442,0.11371342954025708,0.12065952515455972,0.9424322646272228
Singapore/Singapore,A05,1542,0.12159924296191152,0.11752873411506318,1.0346341588505772
Singapore/Singapore,A06,2415,0.1904423941329548,0.11573895643818403,1.6454476521452803
Singapore/Singapore,A07,583,0.0459742922482454,0.11513972408914043,0.3992913185431329
Singapore/Singapore,A08,1326,0.10456588597113792,0.11123547455506338,0.9400408133232361
SouthAfrica/CapeTown,A01,313,0.024525936373609152,0.14891583821254534,0.1646966277596588
SouthAfrica/CapeTown,A02,1043,0.08172700203729823,0.13735091785501216,0.5950233410421718
SouthAfrica/CapeTown,A03,1348,0.10562607741733271,0.13343082958043176,0.7916167331753085
SouthAfrica/CapeTown,A04,644,0.05046230998276132,0.12065952515455972,0.41822069097422065
SouthAfrica/CapeTown,A05,1217,0.09536122864754741,0.11752873411506318,0.8113865036118462
SouthAfrica/CapeTown,A06,2293,0.17967403228334117,0.11573895643818403,1.5524075714239287
SouthAfrica/CapeTown,A07,3217,0.2520764770412161,0.11513972408914043,2.189309372029241
SouthAfrica/CapeTown,A08,2687,0.2105469362168939,0.11123547455506338,1.892803865485104
SouthAfrica/Johannesburg,A01,210,0.016690510252742013,0.14891583821254534,0.11208015516066128
SouthAfrica/Johannesburg,A02,1536,0.12207916070577014,0.13735091785501216,0.8888121216243862
SouthAfrica/Johannesburg,A03,1861,0.1479097122873947,0.13343082958043176,1.108512273756307
SouthAfrica/Johannesburg,A04,503,0.03997774598632968,0.12065952515455972,0.3313268963649566
SouthAfrica/Johannesburg,A05,2410,0.1915434748052774,0.11752873411506318,1.629758681972633
SouthAfrica/Johannesburg,A06,1876,0.14910189159116197,0.11573895643818403,1.288260203648864
SouthAfrica/Johannesburg,A07,2191,0.174137656970275,0.11513972408914043,1.5124029378032793
SouthAfrica/Johannesburg,A08,1995,0.15855984740104911,0.11123547455506338,1.4254431694140828
SouthKorea/Seoul,A01,2880,0.22730860299921074,0.14891583821254534,1.5264232853108384
SouthKorea/Seoul,A02,1333,0.10520915548539858,0.13735091785501216,0.765988004510152
SouthKorea/Seoul,A03,1221,0.09636937647987372,0.13343082958043176,0.7222422043159261
SouthKorea/Seoul,A04,2100,0.16574585635359115,0.12065952515455972,1.3736657436806399
SouthKorea/Seoul,A05,569,0.044909234411996846,0.11752873411506318,0.38211280628641614
SouthKorea/Seoul,A06,2223,0.1754538279400158,0.11573895643818403,1.5159444437683811
SouthKorea/Seoul,A07,1234,0.0973954222573007,0.11513972408914043,0.845888966885988
SouthKorea/Seoul,A08,1110,0.08760852407261246,0.11123547455506338,0.7875951842075777
Taiwan/Taipei,A01,2228,0.17582070707070707,0.14891583821254534,1.1806716409826121
Taiwan/Taipei,A02,1499,0.11829229797979798,0.13735091785501216,0.861241408700796
Taiwan/Taipei,A03,1415,0.1116635101010101,0.13343082958043176,0.8368643922257833
Taiwan/Taipei,A04,1830,0.14441287878787878,0.12065952515455972,1.1968626480411888
Taiwan/Taipei,A05,1047,0.08262310606060606,0.11752873411506318,0.7030034542847731
Taiwan/Taipei,A06,1754,0.13841540404040403,0.11573895643818403,1.1959275277752435
