archetype_id,region_id,region_row,region_column,element_id,element_name,within_region_share,equal_weight_canvas_share
A04,R31,2,0,F015,tree_shade_street,0.007812199039038991,0.0008680221154487768
A04,R31,2,0,F016,construction scaffolding,0.010335169033773085,0.0011483521148636761
A04,R31,2,0,F017,building facade,1.750240700471492e-06,1.944711889412769e-07
A04,R31,2,0,F018,small alley flowerbed,0.0036116217052278928,0.000401291300580877
A04,R31,2,0,F019,road_and_building,3.938041576060857e-05,4.37560175117873e-06
A04,R31,2,0,F020,advertising_wall,1.5752166304243428e-05,1.750240700471492e-06
A04,R31,2,0,F021,road_and_building,0.003130305664069573,0.0003478117404521748
A04,R31,2,0,F022,tree_canopy_and_road,0.00015489630052469228,1.721070005829914e-05
A04,R31,2,0,F023,street_corner_cafe,0.018179744875205725,0.002019971652800636
A04,R31,2,0,F024,road_edge,0.00011726612619807258,1.302956957756362e-05
A04,R31,2,0,F025,shaded alley,2.625361050707238e-05,2.9170678341191534e-06
A04,R31,2,0,F026,tree_shadows,0.0,0.0
A04,R31,2,0,F027,car_top_heat,0.11291670762872909,0.012546300847636565
A04,R31,2,0,F028,red_car_street,8.75120350235746e-07,9.723559447063845e-08
A04,R31,2,0,F029,electric_bike_parking,0.003726262856938921,0.0004140292063265468
A04,R31,2,0,F030,stone_wall_and_shadows,0.0026341125586193106,0.0002926791731799234
A04,R31,2,0,F031,road_edge,1.2251684903300444e-05,1.3612983225889382e-06
A04,R31,2,0,F032,tree-lined walk,6.913450766862393e-05,7.681611963180437e-06
A04,R31,2,0,F033,zebra_crossing,0.004629386745903804,0.0005143763051004227
A04,R31,2,0,F034,red_door_street,0.004548875055693718,0.0005054305617437464
A04,R31,2,0,F035,small alley entrance,0.06377611558685843,0.007086235065206493
A04,R31,2,0,F036,pedestrian walk,0.24830143499887658,0.027589048333208507
A04,R31,2,0,F037,street_corner_shops,0.005545638071313935,0.0006161820079237705
A04,R31,2,0,F038,red-yellow hotspot,0.00011376564112954266,1.2640626792171408e-05
A04,R31,2,0,F039,red car corner,0.0016557277429894875,0.00018396974922105417
A04,R31,2,0,F040,cobblestone,0.02960530517392504,0.0032894783526583376
A04,R31,2,0,F041,concrete_wall,5.250722101414476e-06,5.834135668238307e-07
A04,R31,2,0,F042,Red-yellow glow street,0.0009880108453419443,0.0001097789828157716
A04,R31,2,0,F043,tree_shadows,0.0003272950216241711,3.636611351379679e-05
A04,R31,2,0,F044,road_and_buildings,0.00019077623525111655,2.1197359472346282e-05
A04,R31,2,0,F045,underpass glow,0.0003771768606823631,4.1908540075818126e-05
A04,R31,2,0,F046,window_heat_zone,8.75120350235746e-07,9.723559447063845e-08
A04,R31,2,0,F047,underpass,0.0001163910069481129,1.2932334105345878e-05
A04,R31,2,0,F048,shaded path,0.002090662756206624,0.00023229586180073598
A04,R31,2,0,F049,red_wall_yellow_wall,0.009916862097575412,0.001101873566397268
A04,R31,2,0,F050,greenery_and_water,0.008695195330491245,0.0009661328144990272
A04,R31,2,0,F051,zebra_crossing,0.027689674133217282,0.003076630459246365
A04,R31,2,0,F052,palm_tree_street,0.00015664654085840508,1.7405171206489453e-05
A04,R31,2,0,F053,road_marking,0.08779903548412919,0.009755448387125465
A04,R31,2,0,F054,highlighted_lane,0.07923598486580978,0.008803998318423309
A04,R31,2,0,F055,small alley entrance,0.00268661923389652,0.00029851324821072447
A04,R31,2,0,F056,stone_wall_street,7.876083152121714e-06,8.75120350235746e-07
A04,R31,2,0,F057,streetlight illumination,0.00018377526988191974,2.0419474431324415e-05
A04,R31,2,0,F058,shaded alley,0.1907998043178229,0.021199978257535876
A04,R31,2,0,F059,road_edge,0.0009425046491119048,0.00010472273879021164
A04,R31,2,0,F060,street_corner_shop,0.015976194379350963,0.0017751327088167737
A04,R31,2,0,F061,sunlit street,6.738426660139374e-05,7.487140733488194e-06
A04,R31,2,0,F062,shaded alley,0.0002030279135527605,2.2558657061417834e-05
A04,R31,2,0,F063,blue_wall_graffiti,4.2880897161551555e-05,4.764544129061284e-06
A04,R32,2,1,F000,red brick corner,7.657303156252451e-06,8.508114618058279e-07
A04,R32,2,1,F001,shaded_corner,0.0031690306417022003,0.0003521145157446889
A04,R32,2,1,F002,shaded patches,0.0021506088039656597,0.0002389565337739622
A04,R32,2,1,F003,building facade,0.0002712873096733573,3.0143034408150814e-05
A04,R32,2,1,F004,highlighted_buildings,0.0,0.0
A04,R32,2,1,F005,palm_trees_and_buildings,2.4065809814862362e-05,2.6739788683180403e-06
A04,R32,2,1,F006,small alley entrance,0.0011070272844002614,0.00012300303160002905
A04,R32,2,1,F007,roof_and_eaves,0.0001400192576881335,1.5557695298681498e-05
A04,R32,2,1,F008,stone_wall_and_retaining_wall,0.014730467230480594,0.0016367185811645103
A04,R32,2,1,F009,highlighted road,0.0016014704510841462,0.0001779411612315718
A04,R32,2,1,F010,green_wall,2.2971909193688335e-05,2.552434354854259e-06
A04,R32,2,1,F011,road_edge,0.07596271712969656,0.008440301903299618
A04,R32,2,1,F012,bamboo,0.0015423996244422968,0.0001713777360491441
A04,R32,2,1,F013,tree-lined_driveway,8.094863258018585e-05,8.994292508909539e-06
A04,R32,2,1,F014,road_edge,0.0026756808524582136,0.0002972978724953571
A04,R32,2,1,F015,tree_shade_street,9.845103940152143e-06,1.0939004377946825e-06
A04,R32,2,1,F016,construction scaffolding,0.00038395905650831345,4.2662117389812605e-05
A04,R32,2,1,F017,building facade,4.2662117165682286e-05,4.7402352406313655e-06
A04,R32,2,1,F018,small alley flowerbed,0.009775098830600381,0.0010861220922889312
A04,R32,2,1,F019,road_and_building,0.003297016824490248,0.00036633520272113867
A04,R32,2,1,F020,advertising_wall,0.0005042881052158666,5.603201169065184e-05
A04,R32,2,1,F021,road_and_building,0.004079156407156563,0.00045323960079517373
A04,R32,2,1,F022,tree_canopy_and_road,6.563402626768095e-06,7.292669585297883e-07
A04,R32,2,1,F023,street_corner_cafe,0.0028332030303381633,0.00031480033670424034
A04,R32,2,1,F024,road_edge,0.001357530573777606,0.000150836730419734
A04,R32,2,1,F025,shaded alley,0.0,0.0
A04,R32,2,1,F026,tree_shadows,5.578892251090815e-05,6.1987691678786835e-06
A04,R32,2,1,F027,car_top_heat,0.01717643025430224,0.0019084922504780267
A04,R32,2,1,F028,red_car_street,0.006221016357076054,0.0006912240396751171
A04,R32,2,1,F029,electric_bike_parking,0.09979879430473931,0.011088754922748812
A04,R32,2,1,F030,stone_wall_and_shadows,1.6408506566920236e-05,1.8231673963244709e-06
A04,R32,2,1,F031,road_edge,0.00254769451966586,0.00028307716885176223
A04,R32,2,1,F032,tree-lined walk,0.0,0.0
A04,R32,2,1,F033,zebra_crossing,0.06037020116035129,0.006707800128927921
A04,R32,2,1,F034,red_door_street,0.0014537937053016895,0.00016153263392240994
A04,R32,2,1,F035,small alley entrance,0.02805964647158765,0.0031177384968430724
A04,R32,2,1,F036,pedestrian walk,0.44000731909735114,0.048889702121927905
A04,R32,2,1,F037,street_corner_shops,3.2817013133840476e-06,3.6463347926489417e-07
A04,R32,2,1,F038,red-yellow hotspot,1.0939004377946825e-06,1.2154449308829806e-07
A04,R32,2,1,F039,red car corner,0.00039599196114067556,4.3999106793408396e-05
A04,R32,2,1,F040,cobblestone,0.08376879197119665,0.009307643552355183
A04,R32,2,1,F041,concrete_wall,6.344622585053995e-05,7.049580650059995e-06
A04,R32,2,1,F042,Red-yellow glow street,0.004196203588592424,0.000466244843176936
A04,R32,2,1,F043,tree_shadows,9.079373743723473e-05,1.0088193048581636e-05
A04,R32,2,1,F044,road_and_buildings,0.0,0.0
A04,R32,2,1,F045,underpass glow,0.004404044569631118,0.0004893382855145687
A04,R32,2,1,F046,window_heat_zone,5.797672393663556e-05,6.441858215181729e-06
A04,R32,2,1,F047,underpass,0.001874945436751758,0.00020832727075019533
A04,R32,2,1,F048,shaded path,0.0,0.0
A04,R32,2,1,F049,red_wall_yellow_wall,1.8596307534199274e-05,2.0662563926888083e-06
A04,R32,2,1,F050,greenery_and_water,0.00034020303762118104,3.780033751346456e-05
A04,R32,2,1,F051,zebra_crossing,0.00316465453235699,0.0003516282813729989
A04,R32,2,1,F052,palm_tree_street,0.00028332021522261625,3.148002391362403e-05
A04,R32,2,1,F053,road_marking,0.0028091366110620424,0.00031212629011800473
A04,R32,2,1,F054,highlighted_lane,0.10703820452567442,0.011893133836186046
A04,R32,2,1,F055,small alley entrance,0.0001826813737535397,2.0297930417059965e-05
A04,R32,2,1,F056,stone_wall_street,2.187800875589365e-06,2.430889861765961e-07
A04,R32,2,1,F057,streetlight illumination,0.00026800560982700804,2.9778401091889785e-05
A04,R32,2,1,F058,shaded alley,0.002666929720198732,0.00029632552446652577
A04,R32,2,1,F059,road_edge,0.004257461459670059,0.00047305127329667316
A04,R32,2,1,F060,street_corner_shop,0.0021823314745341013,0.00024248127494823346
A04,R32,2,1,F061,sunlit street,0.0,0.0
A04,R32,2,1,F062,shaded alley,0.00039380416063184494,4.375601784798277e-05
A04,R32,2,1,F063,blue_wall_graffiti,5.3601121543629115e-05,5.955680171514346e-06
A04,R33,2,2,F000,red brick corner,0.0054983803030493675,0.0006109311447832631
A04,R33,2,2,F001,shaded_corner,0.0002100288822227856,2.3336542469198398e-05
A04,R33,2,2,F002,shaded patches,0.0004699396057043153,5.2215511744923924e-05
A04,R33,2,2,F003,building facade,0.0017747442833648936,0.00019719380926276595
A04,R33,2,2,F004,highlighted_buildings,0.0,0.0
A04,R33,2,2,F005,palm_trees_and_buildings,0.0003526734901422449,3.918594334913832e-05
A04,R33,2,2,F006,small alley entrance,0.024874417487327494,0.0027638241652586104
A04,R33,2,2,F007,roof_and_eaves,4.37560175117873e-06,4.861779723531922e-07
A04,R33,2,2,F008,stone_wall_and_retaining_wall,0.01449549089345556,0.00161061009927284
A04,R33,2,2,F009,highlighted road,0.0026997462203288505,0.00029997180225876116
A04,R33,2,2,F010,green_wall,0.00012164172758249261,1.3515747509165845e-05
A04,R33,2,2,F011,road_edge,0.03041217102720281,0.003379130114133646
A04,R33,2,2,F012,bamboo,0.00022665616961078212,2.518401884564246e-05
A04,R33,2,2,F013,tree-lined_driveway,5.250722101414476e-05,5.834135668238307e-06
A04,R33,2,2,F014,road_edge,0.000920626532895714,0.00010229183698841267
A04,R33,2,2,F015,tree_shade_street,1.312680525353619e-05,1.4585339170595767e-06
A04,R33,2,2,F016,construction scaffolding,0.0004533123318863904,5.03680368762656e-05
A04,R33,2,2,F017,building facade,1.2251684903300444e-05,1.3612983225889382e-06
A04,R33,2,2,F018,small alley flowerbed,0.007812198650641536,0.000868022072293504
A04,R33,2,2,F019,road_and_building,0.008414281758580755,0.0009349201953978616
A04,R33,2,2,F020,advertising_wall,0.004829789624087577,0.0005366432915652863
A04,R33,2,2,F021,road_and_building,0.1326252737987946,0.014736141533199399
A04,R33,2,2,F022,tree_canopy_and_road,0.0004095563092399814,4.550625658222015e-05
A04,R33,2,2,F023,street_corner_cafe,0.02620021384781538,0.0029111348719794866
A04,R33,2,2,F024,road_edge,0.033783135509735086,0.003753681723303898
A04,R33,2,2,F025,shaded alley,0.00010763980234547937,1.1959978038386597e-05
A04,R33,2,2,F026,tree_shadows,1.5752166304243428e-05,1.750240700471492e-06
A04,R33,2,2,F027,car_top_heat,3.1504332608486857e-05,3.500481400942984e-06
A04,R33,2,2,F028,red_car_street,0.006528397094645144,0.0007253774549605715
A04,R33,2,2,F029,electric_bike_parking,0.02102213667646485,0.00233579296405165
A04,R33,2,2,F030,stone_wall_and_shadows,0.0008016102342142869,8.906780380158743e-05
A04,R33,2,2,F031,road_edge,0.0003684256590137991,4.093618433486657e-05
A04,R33,2,2,F032,tree-lined walk,1.750240700471492e-06,1.944711889412769e-07
A04,R33,2,2,F033,zebra_crossing,0.029246512916839853,0.003249612546315539
A04,R33,2,2,F034,red_door_street,0.032171164861060905,0.0035745738734512117
A04,R33,2,2,F035,small alley entrance,0.0023698261288603744,0.0002633140143178194
A04,R33,2,2,F036,pedestrian walk,0.1700192184844459,0.018891024276049544
A04,R33,2,2,F037,street_corner_shops,0.004683644209818972,0.000520404912202108
A04,R33,2,2,F038,red-yellow hotspot,0.000196902076235732,2.1878008470636887e-05
A04,R33,2,2,F039,red car corner,0.008143869608867572,0.0009048744009852858
A04,R33,2,2,F040,cobblestone,0.12061775001007981,0.0134019722233422
A04,R33,2,2,F041,concrete_wall,0.0,0.0
A04,R33,2,2,F042,Red-yellow glow street,0.000258160497451406,2.8684499716822886e-05
A04,R33,2,2,F043,tree_shadows,1.4001925603771936e-05,1.5557695115302151e-06
A04,R33,2,2,F044,road_and_buildings,8.313643327239586e-05,9.237381474710652e-06
A04,R33,2,2,F045,underpass glow,0.0001347685339363049,1.497428154847832e-05
A04,R33,2,2,F046,window_heat_zone,0.0019952745100321437,0.00022169716778134928
A04,R33,2,2,F047,underpass,0.0012986786078185383,0.0001442976230909487
A04,R33,2,2,F048,shaded path,4.6381378195735846e-05,5.153486466192872e-06
A04,R33,2,2,F049,red_wall_yellow_wall,0.0006397129536500501,7.107921707222779e-05
A04,R33,2,2,F050,greenery_and_water,0.00016452262474404416,1.828029163822713e-05
A04,R33,2,2,F051,zebra_crossing,0.006395379516588762,0.000710597724065418
A04,R33,2,2,F052,palm_tree_street,0.010299290358496013,0.0011443655953884458
A04,R33,2,2,F053,road_marking,0.02086636731750729,0.00231848525750081
A04,R33,2,2,F054,highlighted_lane,0.2232047227086843,0.024800524745409367
A04,R33,2,2,F055,small alley entrance,0.0023234444902659667,0.00025816049891844075
A04,R33,2,2,F056,stone_wall_street,0.0005627023760326173,6.252248622584636e-05
A04,R33,2,2,F057,streetlight illumination,6.300866485021502e-05,7.000962761135002e-06
A04,R33,2,2,F058,shaded alley,0.02170910462091588,0.0024121227356573203
A04,R33,2,2,F059,road_edge,0.00015664654085840508,1.7405171206489453e-05
A04,R33,2,2,F060,street_corner_shop,0.015708408893782125,0.0017453787659757916
A04,R33,2,2,F061,sunlit street,1.750240700471492e-05,1.944711889412769e-06
A04,R33,2,2,F062,shaded alley,0.0010658965557794084,0.00011843295064215649
A04,R33,2,2,F063,blue_wall_graffiti,0.0,0.0
A05,R11,0,0,F000,red brick corner,3.773415481515139e-05,4.192683868350154e-06
A05,R11,0,0,F001,shaded_corner,5.210907093520906e-05,5.7898967705787846e-06
A05,R11,0,0,F002,shaded patches,0.0158150988482389,0.0017572332053598777
A05,R11,0,0,F003,building facade,0.00029019361427879244,3.2243734919865825e-05
