image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,PC1,PC2
291503,SouthKorea/Seoul,A02,0,0.14387007,-0.029733133,-0.045769174
291517,SouthKorea/Seoul,A05,3,0.120232455,-0.05683956,-0.009486519
291527,SouthKorea/Seoul,A05,3,0.2608767,-0.085926086,-0.027041879
291548,SouthKorea/Seoul,A02,0,0.16396348,0.017381744,-0.049274012
291558,SouthKorea/Seoul,A05,3,0.15555978,-0.07799232,0.0668423
291576,SouthKorea/Seoul,A02,0,0.14557147,-0.03897125,-0.036963265
291601,SouthKorea/Seoul,A06,5,0.11315455,0.023009857,0.030546417
291605,SouthKorea/Seoul,A04,1,0.11750116,0.08559314,-0.07882484
291624,SouthKorea/Seoul,A02,0,0.13481888,0.0063184975,-0.0640414
291633,SouthKorea/Seoul,A03,7,0.18354212,-0.09268768,-0.010352079
291689,SouthKorea/Seoul,A04,1,0.20960869,0.078065425,-0.0287615
291706,SouthKorea/Seoul,A02,0,0.16582999,-0.010379985,-0.067533754
291719,SouthKorea/Seoul,A05,3,0.15142815,-0.0902584,0.024212738
291721,SouthKorea/Seoul,A06,5,0.17400955,-0.02385906,0.0003161756
291725,SouthKorea/Seoul,A04,1,0.13775066,0.02383746,-0.032461394
291728,SouthKorea/Seoul,A04,1,0.12521023,0.13370965,-0.030086104
291740,SouthKorea/Seoul,A06,5,0.17973456,0.04251376,-0.016956434
291743,SouthKorea/Seoul,A04,1,0.13637833,0.029635062,-0.05158831
291756,SouthKorea/Seoul,A05,3,0.1465109,-0.0641419,-0.021686435
291757,SouthKorea/Seoul,A07,4,0.12715371,0.09656165,0.08272953
291762,SouthKorea/Seoul,A04,1,0.14356934,0.028138401,-0.033184692
291783,SouthKorea/Seoul,A01,6,0.15279171,-0.010678986,0.069362946
291816,SouthKorea/Seoul,A05,3,0.15673177,-0.052517656,0.03159094
291833,SouthKorea/Seoul,A02,0,0.14634787,-0.002665154,-0.07773372
291842,SouthKorea/Seoul,A05,3,0.17684609,-0.12223562,-0.03746483
291856,SouthKorea/Seoul,A01,6,0.14211324,-0.035421573,0.04787573
291865,SouthKorea/Seoul,A02,0,0.15505354,-0.026080253,-0.08176506
291876,SouthKorea/Seoul,A02,0,0.11210799,-0.039539944,-0.04437325
291886,SouthKorea/Seoul,A01,6,0.13082987,-0.058936995,-0.0320386
291905,SouthKorea/Seoul,A02,0,0.14473219,-0.018290056,-0.06683873
291923,SouthKorea/Seoul,A05,3,0.12894924,-0.07121154,-0.012075498
291974,SouthKorea/Seoul,A02,0,0.1514645,0.019760968,-0.08260712
291983,SouthKorea/Seoul,A02,0,0.1443677,-0.06282819,-0.018564755
