image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,UMAP1,UMAP2
3672,Argentina/BuenosAires,A04,1,0.14801244,8.229726,7.018861
3713,Argentina/BuenosAires,A03,7,0.13748926,8.947533,3.660039
3714,Argentina/BuenosAires,A05,3,0.15605967,8.065288,2.3010342
3718,Argentina/BuenosAires,A04,1,0.16097857,7.840397,8.467859
3746,Argentina/BuenosAires,A03,7,0.1741042,6.395289,3.9568925
3792,Argentina/BuenosAires,A02,0,0.12501875,8.864489,2.6719732
3797,Argentina/BuenosAires,A03,7,0.17418206,8.633379,3.7636757
3802,Argentina/BuenosAires,A06,5,0.16732796,7.48993,6.36451
3812,Argentina/BuenosAires,A08,2,0.13212138,6.2583,5.13341
3846,Argentina/BuenosAires,A04,1,0.13651034,5.179567,6.835193
3850,Argentina/BuenosAires,A02,0,0.14662941,9.125169,2.9148326
3864,Argentina/BuenosAires,A07,4,0.12829916,4.185128,5.4257855
3878,Argentina/BuenosAires,A01,6,0.17189339,8.101724,5.4113207
3887,Argentina/BuenosAires,A03,7,0.17631054,10.303817,4.6560087
3898,Argentina/BuenosAires,A06,5,0.15795718,7.6718383,6.198004
3909,Argentina/BuenosAires,A01,6,0.15825297,7.901252,5.2655406
3917,Argentina/BuenosAires,A06,5,0.18488678,6.8303404,4.37985
3920,Argentina/BuenosAires,A03,7,0.14338982,9.93,4.633704
3922,Argentina/BuenosAires,A03,7,0.20876609,7.38709,3.8973577
3984,Argentina/BuenosAires,A01,6,0.10887107,7.372886,5.2595615
3999,Argentina/BuenosAires,A01,6,0.18655534,9.131585,3.7220764
4045,Argentina/BuenosAires,A02,0,0.18234104,9.293986,6.0646405
4051,Argentina/BuenosAires,A03,7,0.15384941,8.810796,5.7351413
4068,Argentina/BuenosAires,A06,5,0.16402705,6.5440083,5.5883617
4100,Argentina/BuenosAires,A06,5,0.16577715,6.564643,3.7992103
4110,Argentina/BuenosAires,A03,7,0.1556157,8.545359,6.392449
4188,Argentina/BuenosAires,A04,1,0.15252201,5.2514625,7.260944
4195,Argentina/BuenosAires,A04,1,0.13932754,7.821998,7.24447
4203,Argentina/BuenosAires,A06,5,0.13143583,8.207866,4.098523
4206,Argentina/BuenosAires,A08,2,0.12294107,5.531768,4.7591047
4215,Argentina/BuenosAires,A07,4,0.19296868,3.0148814,5.0443897
4217,Argentina/BuenosAires,A06,5,0.14445013,6.582334,4.5885925
4222,Argentina/BuenosAires,A04,1,0.11448963,8.061579,7.9972563
4254,Argentina/BuenosAires,A04,1,0.13650478,7.7600384,7.938203
4281,Argentina/BuenosAires,A05,3,0.14751714,7.2420764,2.4407578
4287,Argentina/BuenosAires,A04,1,0.17263284,7.716507,6.5988564
4290,Argentina/BuenosAires,A04,1,0.12693238,8.141504,7.023155
4307,Argentina/BuenosAires,A06,5,0.15449697,8.251224,4.591082
4321,Argentina/BuenosAires,A03,7,0.13578027,8.293701,4.213202
4340,Argentina/BuenosAires,A03,7,0.14306054,8.08417,5.768857
4341,Argentina/BuenosAires,A04,1,0.11178039,7.4220657,8.430181
4342,Argentina/BuenosAires,A07,4,0.15410055,3.394675,4.230818
4343,Argentina/BuenosAires,A07,4,0.1391806,4.1509013,5.870795
4363,Argentina/BuenosAires,A02,0,0.14824526,8.800232,2.4490035
4371,Argentina/BuenosAires,A06,5,0.13376167,6.6417875,2.5195286
4383,Argentina/BuenosAires,A06,5,0.19932708,7.0474734,4.199537
4397,Argentina/BuenosAires,A06,5,0.1787752,6.5313187,3.7278054
4399,Argentina/BuenosAires,A08,2,0.16896021,9.969761,5.2511473
4406,Argentina/BuenosAires,A03,7,0.13167098,8.872248,3.9069643
4425,Argentina/BuenosAires,A03,7,0.13049346,9.289578,4.286566
4434,Argentina/BuenosAires,A01,6,0.13631402,8.932532,6.2621665
4441,Argentina/BuenosAires,A03,7,0.14097334,8.458865,4.890906
4449,Argentina/BuenosAires,A03,7,0.18069397,9.371863,4.5754395
4469,Argentina/BuenosAires,A04,1,0.110440224,7.892214,7.659492
4472,Argentina/BuenosAires,A03,7,0.17405546,8.994403,4.5013924
4495,Argentina/BuenosAires,A06,5,0.1775374,6.247335,3.9040613
4496,Argentina/BuenosAires,A05,3,0.13030468,8.1425085,3.1557496
4497,Argentina/BuenosAires,A06,5,0.15094584,6.4775653,3.7334712
4502,Argentina/BuenosAires,A06,5,0.19219936,7.7207093,2.9027631
4546,Argentina/BuenosAires,A08,2,0.14806245,5.93245,5.2292085
4557,Argentina/BuenosAires,A03,7,0.12392845,5.6567445,4.733234
4559,Argentina/BuenosAires,A04,1,0.1451258,8.648697,6.882158
4565,Argentina/BuenosAires,A05,3,0.1181807,8.424376,2.0532985
4574,Argentina/BuenosAires,A04,1,0.1466756,7.251419,7.132555
4588,Argentina/BuenosAires,A06,5,0.21710339,6.7404613,4.5294185
4589,Argentina/BuenosAires,A01,6,0.17076519,8.300662,3.6479616
4590,Argentina/BuenosAires,A07,4,0.18865767,4.390027,6.8359604
4600,Argentina/BuenosAires,A05,3,0.15136525,9.127698,2.2035134
4614,Argentina/BuenosAires,A04,1,0.12144737,7.949687,7.289785
4622,Argentina/BuenosAires,A05,3,0.1644558,7.1925287,6.4480915
4660,Argentina/BuenosAires,A03,7,0.15071914,5.888164,4.038259
4674,Argentina/BuenosAires,A07,4,0.12630603,5.5605474,6.275868
4684,Argentina/BuenosAires,A05,3,0.13769294,7.320634,1.3815004
4712,Argentina/BuenosAires,A03,7,0.14021711,8.905728,6.112281
4716,Argentina/BuenosAires,A03,7,0.18780106,8.639954,4.7563305
4747,Argentina/BuenosAires,A05,3,0.14569047,7.739529,2.8908823
4784,Argentina/BuenosAires,A04,1,0.16873986,6.9403214,6.7272015
4791,Argentina/BuenosAires,A08,2,0.17971033,5.7317715,4.235321
4792,Argentina/BuenosAires,A04,1,0.16693161,6.6590867,7.7478213
4834,Argentina/BuenosAires,A02,0,0.15690312,6.834969,3.9267857
4900,Argentina/BuenosAires,A06,5,0.13742447,6.977674,5.6145725
4903,Argentina/BuenosAires,A06,5,0.2724269,6.423412,4.8872414
4916,Argentina/BuenosAires,A03,7,0.17532316,5.0099874,4.6400375
4920,Argentina/BuenosAires,A03,7,0.16380069,7.63334,4.2003436
4971,Argentina/BuenosAires,A08,2,0.13106546,4.85013,4.088975
4982,Argentina/BuenosAires,A04,1,0.13682723,7.2546744,7.0288796
4990,Argentina/BuenosAires,A03,7,0.13623634,8.783383,3.7015736
4995,Argentina/BuenosAires,A08,2,0.13860534,5.65106,5.29543
5006,Argentina/BuenosAires,A01,6,0.114764825,9.239267,5.442219
5017,Argentina/BuenosAires,A06,5,0.12433685,6.4978857,3.0168371
5035,Argentina/BuenosAires,A07,4,0.1276547,4.1465287,6.468738
5037,Argentina/BuenosAires,A04,1,0.19810553,7.0490446,8.556415
5104,Argentina/BuenosAires,A01,6,0.14788085,7.0202317,5.613564
5105,Argentina/BuenosAires,A06,5,0.123097226,7.350813,4.436514
5117,Argentina/BuenosAires,A01,6,0.11111476,8.434517,4.248848
5138,Argentina/BuenosAires,A02,0,0.1409176,8.545143,6.6269794
5139,Argentina/BuenosAires,A02,0,0.1879961,11.005446,4.8730063
5152,Argentina/BuenosAires,A08,2,0.13418455,5.5002236,5.700197
5173,Argentina/BuenosAires,A08,2,0.122765824,5.421461,6.6868544
5189,Argentina/BuenosAires,A06,5,0.26394126,6.9491353,4.1247754
5223,Argentina/BuenosAires,A06,5,0.13084894,6.7598257,4.8016763
5226,Argentina/BuenosAires,A05,3,0.129795,8.612052,2.3030617
5230,Argentina/BuenosAires,A01,6,0.17404379,8.389616,4.63764
5234,Argentina/BuenosAires,A07,4,0.14732306,4.5394974,5.997596
5252,Argentina/BuenosAires,A03,7,0.15014647,8.7077,3.4984238
5258,Argentina/BuenosAires,A06,5,0.18925789,7.2359076,4.0921016
5259,Argentina/BuenosAires,A06,5,0.18168443,6.5092854,3.939082
5264,Argentina/BuenosAires,A02,0,0.14592785,8.840813,2.4588416
5288,Argentina/BuenosAires,A06,5,0.16762847,6.82753,4.356649
5292,Argentina/BuenosAires,A04,1,0.14036721,7.765518,8.032595
5298,Argentina/BuenosAires,A08,2,0.10813666,8.525562,6.7284184
5308,Argentina/BuenosAires,A06,5,0.18298443,6.673865,4.4202476
5333,Argentina/BuenosAires,A03,7,0.17193118,10.194162,3.9724607
5368,Argentina/BuenosAires,A03,7,0.13658099,8.409972,4.7138925
5386,Argentina/BuenosAires,A08,2,0.17168629,5.0645266,3.9353037
5401,Argentina/BuenosAires,A06,5,0.1630096,6.9917145,4.54447
5406,Argentina/BuenosAires,A02,0,0.1585249,9.55445,6.7617025
5476,Argentina/BuenosAires,A01,6,0.13650283,7.284442,4.58628
5492,Argentina/BuenosAires,A08,2,0.16145946,4.7677007,4.1914997
5502,Argentina/BuenosAires,A08,2,0.14266337,5.6543026,6.287586
5515,Argentina/BuenosAires,A08,2,0.12474611,5.395101,5.7078977
5529,Argentina/BuenosAires,A06,5,0.25628978,6.9425864,4.096314
5546,Argentina/BuenosAires,A06,5,0.16164455,6.328205,3.1407495
