family_id,seed_coverage,seed_11_activation_pct,seed_23_activation_pct,seed_37_activation_pct,seed_53_activation_pct,seed_71_activation_pct,mean_activation_pct,range_pp,coefficient_of_variation
stable_0398,5,0.196000,0.324800,0.312400,0.343600,0.195200,0.274400,0.148400,0.237256
stable_0842,4,0.132800,0.000000,0.121600,0.144000,0.150800,0.109840,0.150800,0.508121
stable_0046,5,0.199200,0.094000,0.212400,0.090400,0.242000,0.167600,0.151600,0.376583
stable_0119,5,1.160400,1.244800,1.211200,1.177600,1.314000,1.221600,0.153600,0.044635
stable_0556,5,0.877200,0.894000,0.942400,1.032000,0.894400,0.928000,0.154800,0.060746
stable_0663,5,1.167200,1.191200,1.191600,1.104400,1.259200,1.182720,0.154800,0.042063
stable_0576,5,0.367600,0.381200,0.464800,0.390000,0.308000,0.382320,0.156800,0.131320
stable_0666,5,0.696800,0.659600,0.818000,0.776000,0.725200,0.735120,0.158400,0.076494
stable_0823,4,0.158400,0.146400,0.154000,0.151600,0.000000,0.122080,0.158400,0.501006
stable_0367,5,0.559200,0.554800,0.536400,0.400000,0.462800,0.502640,0.159200,0.123226
stable_0012,5,0.638000,0.722000,0.562400,0.602800,0.659600,0.636960,0.159600,0.084462
stable_0476,5,0.756400,0.918400,0.898800,0.843200,0.759600,0.835280,0.162000,0.081121
stable_0649,5,0.726000,0.746400,0.774400,0.738000,0.610800,0.719120,0.163600,0.078509
stable_0181,5,1.311200,1.295600,1.443600,1.363200,1.459600,1.374640,0.164000,0.048666
stable_0546,5,0.342000,0.285200,0.359600,0.449200,0.377200,0.362640,0.164000,0.146627
stable_0402,5,1.390000,1.497200,1.402400,1.408400,1.332400,1.406080,0.164800,0.037645
stable_0380,5,0.167600,0.172400,0.143200,0.272800,0.106800,0.172560,0.166000,0.320139
stable_0615,5,0.779200,0.675200,0.612000,0.630800,0.733600,0.686160,0.167200,0.091227
stable_0664,5,0.460400,0.352400,0.340000,0.364400,0.507200,0.404880,0.167200,0.164405
stable_0222,5,0.450000,0.349200,0.516800,0.456000,0.485200,0.451440,0.167600,0.124866
stable_0171,5,0.786800,0.728800,0.618800,0.741600,0.730000,0.721200,0.168000,0.076803
stable_0860,4,0.000000,0.165600,0.168000,0.158400,0.157200,0.129840,0.168000,0.501003
stable_0456,5,0.777200,0.647200,0.798800,0.815600,0.795600,0.766880,0.168400,0.079633
stable_0475,5,0.610000,0.640800,0.621600,0.616000,0.472000,0.592080,0.168800,0.102895
stable_0662,5,1.050800,1.175200,1.122800,1.005600,1.016000,1.074080,0.169600,0.060629
stable_0424,5,0.604000,0.629600,0.766800,0.717600,0.596800,0.662960,0.170000,0.101712
stable_0145,5,1.310800,1.417200,1.482400,1.410800,1.402000,1.404640,0.171600,0.039066
stable_0671,5,0.700400,0.726000,0.684800,0.727600,0.857200,0.739200,0.172400,0.082727
stable_0225,5,0.445200,0.386400,0.272800,0.438400,0.299200,0.368400,0.172400,0.192133
stable_0625,5,1.203600,1.217200,1.162400,1.098000,1.044400,1.145120,0.172800,0.056969
stable_0509,5,0.194400,0.166800,0.179600,0.146400,0.320000,0.201440,0.173600,0.304502
stable_0613,5,0.890400,1.007200,1.038000,1.064400,1.008400,1.001680,0.174000,0.059418
stable_0669,5,0.377200,0.391200,0.494400,0.441200,0.320000,0.404800,0.174400,0.146110
stable_0157,5,0.684400,0.568800,0.559600,0.621600,0.510000,0.588880,0.174400,0.100971
stable_0724,5,0.652400,0.826800,0.720400,0.768000,0.716000,0.736720,0.174400,0.078911
stable_0554,5,0.499600,0.422400,0.597200,0.588400,0.562400,0.534000,0.174800,0.122507
stable_0245,5,0.849200,0.820000,0.879600,0.996400,0.894400,0.887920,0.176400,0.067558
stable_0838,4,0.160400,0.000000,0.167600,0.172800,0.176800,0.135520,0.176800,0.501637
stable_0043,5,0.705200,0.689600,0.743600,0.772000,0.594400,0.700960,0.177600,0.086465
stable_0409,5,0.765200,0.859200,0.816800,0.944400,0.811200,0.839360,0.179200,0.071936
stable_0144,5,0.199200,0.342800,0.186000,0.178800,0.162400,0.213840,0.180400,0.306608
stable_0873,4,0.000000,0.109600,0.123600,0.182000,0.126400,0.108320,0.182000,0.549651
stable_0648,5,1.265600,1.344400,1.358800,1.174800,1.284800,1.285680,0.184000,0.050995
stable_0269,5,0.962400,1.095600,1.133600,1.050800,1.146400,1.077760,0.184000,0.061802
stable_0704,5,0.258800,0.248800,0.386000,0.400400,0.433600,0.345520,0.184800,0.221490
stable_0506,5,0.543200,0.481600,0.498000,0.369200,0.358400,0.450080,0.184800,0.162992
stable_0316,5,0.959200,0.772800,0.908800,0.827200,0.872000,0.868000,0.186400,0.074174
stable_0208,5,0.498000,0.398800,0.467600,0.309200,0.374000,0.409520,0.188800,0.164325
stable_0636,5,0.656400,0.477600,0.650000,0.662000,0.666800,0.622560,0.189200,0.116771
stable_0432,5,0.618000,0.591600,0.572000,0.763600,0.628800,0.634800,0.191600,0.106184
stable_0725,5,0.700800,0.509200,0.575200,0.636000,0.676800,0.619600,0.191600,0.112500
stable_0622,5,0.137600,0.134800,0.326800,0.152800,0.143200,0.179040,0.192000,0.414073
stable_0340,5,1.130800,1.093200,1.098400,0.936800,1.092800,1.070400,0.194000,0.063778
stable_0417,5,1.611600,1.632000,1.718800,1.758800,1.564400,1.657120,0.194400,0.043048
stable_0158,5,1.142000,1.048000,1.085600,0.977200,1.172000,1.084960,0.194800,0.063601
stable_0215,5,0.349200,0.375600,0.178800,0.347200,0.252000,0.300560,0.196800,0.246098
stable_0754,4,0.169200,0.197200,0.159600,0.161200,0.000000,0.137440,0.197200,0.509576
stable_0047,5,0.839200,0.727600,0.852000,0.652400,0.785200,0.771280,0.199600,0.095915
stable_0272,5,1.999600,1.955200,2.001600,2.154800,2.009600,2.024160,0.199600,0.033613
stable_0728,5,0.692400,0.651600,0.738000,0.624800,0.537200,0.648800,0.200800,0.104300
stable_0849,4,0.204400,0.199200,0.186000,0.197600,0.000000,0.157440,0.204400,0.501457
stable_0693,5,0.372400,0.248800,0.283200,0.222000,0.427200,0.310720,0.205200,0.248603
stable_0003,5,1.823200,1.876800,1.903600,1.870800,2.028800,1.900640,0.205600,0.036368
stable_0487,5,0.596800,0.591200,0.667600,0.691200,0.798000,0.668960,0.206800,0.112664
stable_0400,5,0.657600,0.544800,0.449200,0.603200,0.520400,0.555040,0.208400,0.128273
stable_0365,5,0.929200,1.007600,0.940000,1.138000,1.016400,1.006240,0.208800,0.074088
stable_0257,5,0.743600,0.906400,0.952800,0.928000,0.903200,0.886800,0.209200,0.083191
stable_0165,5,1.315600,1.206000,1.272400,1.419600,1.301200,1.302960,0.213600,0.053287
stable_0040,5,0.643200,0.494400,0.660000,0.583200,0.442000,0.564560,0.218000,0.149428
stable_0054,5,0.873600,0.921600,1.092800,0.910400,1.008000,0.961280,0.219200,0.082348
stable_0358,5,1.295600,1.188400,1.380400,1.410800,1.385600,1.332160,0.222400,0.061326
stable_0452,5,1.564000,1.666000,1.516000,1.713600,1.739600,1.639840,0.223600,0.052575
