city,element_id,morans_i,expected_i,p_value,z_score,grid_size_m,minimum_panoramas
Sydney,F048,0.049247384242430296,-0.0009233610341643582,0.058,1.8645981564181366,1000,5
Sydney,F049,0.008179239569570236,-0.0009233610341643582,0.716,0.42486360441989174,1000,5
Sydney,F050,0.018987657711067148,-0.0009233610341643582,0.484,0.7214125644957704,1000,5
Sydney,F051,0.07774220948038385,-0.0009233610341643582,0.011,2.827724934281184,1000,5
Sydney,F052,0.10222028779510411,-0.0009233610341643582,0.001,3.8391235833165194,1000,5
Sydney,F053,0.07380264833334847,-0.0009233610341643582,0.005,2.8370538174834197,1000,5
Sydney,F054,0.2312421644512629,-0.0009233610341643582,0.001,8.396270045454962,1000,5
Sydney,F055,0.0865850402288449,-0.0009233610341643582,0.003,3.1210907702944493,1000,5
Sydney,F056,0.25818822301398525,-0.0009233610341643582,0.001,9.561248978135103,1000,5
Sydney,F057,0.2693319684028682,-0.0009233610341643582,0.001,10.154268896688684,1000,5
Sydney,F058,0.361210243885689,-0.0009233610341643582,0.001,13.68804622573823,1000,5
Sydney,F059,0.10987571204041142,-0.0009233610341643582,0.001,4.25289667395313,1000,5
Sydney,F060,0.006713758917289752,-0.0009233610341643582,0.767,0.3261568681089175,1000,5
Sydney,F061,0.1065202030693616,-0.0009233610341643582,0.001,4.1021912104419895,1000,5
Sydney,F062,0.09963843021191097,-0.0009233610341643582,0.003,3.643596089936691,1000,5
Sydney,F063,0.03840094441185649,-0.0009233610341643582,0.146,1.3874652286701772,1000,5
Vienna,F000,0.26688897633044645,-0.0015723270440251573,0.001,8.888975804779086,1000,5
Vienna,F001,0.2666050762697526,-0.0015723270440251573,0.001,8.793695894755707,1000,5
Vienna,F002,0.6656417533664405,-0.0015723270440251573,0.001,20.823907324408932,1000,5
Vienna,F003,0.7021111590619251,-0.0015723270440251573,0.001,23.106800343734246,1000,5
Vienna,F004,0.061050807597345574,-0.0015723270440251573,0.035,2.0567092023003406,1000,5
Vienna,F005,0.08946344046410486,-0.0015723270440251573,0.001,3.2534472661990756,1000,5
Vienna,F006,0.13900619338474307,-0.0015723270440251573,0.002,4.418541982472451,1000,5
Vienna,F007,0.35857255345267686,-0.0015723270440251573,0.001,12.269379593291788,1000,5
Vienna,F008,0.2766261329162226,-0.0015723270440251573,0.001,9.003739202030866,1000,5
Vienna,F009,0.1780226116708866,-0.0015723270440251573,0.001,6.076243850056255,1000,5
Vienna,F010,0.16961047392548462,-0.0015723270440251573,0.001,5.655438017128711,1000,5
Vienna,F011,0.1780154599807139,-0.0015723270440251573,0.001,6.065548289913158,1000,5
Vienna,F012,0.2566401595575041,-0.0015723270440251573,0.001,8.604090555670634,1000,5
Vienna,F013,0.13747364945617677,-0.0015723270440251573,0.001,4.589641254579645,1000,5
Vienna,F014,0.11243399662180335,-0.0015723270440251573,0.001,3.8240544303794684,1000,5
Vienna,F015,0.28357095039973945,-0.0015723270440251573,0.001,9.736336796626276,1000,5
Vienna,F016,0.039627007657802124,-0.0015723270440251573,0.186,1.3331936975757146,1000,5
Vienna,F017,0.379957514590978,-0.0015723270440251573,0.001,12.313016625452708,1000,5
Vienna,F018,0.28256973182395345,-0.0015723270440251573,0.001,9.510479459989655,1000,5
Vienna,F019,0.4556916132184923,-0.0015723270440251573,0.001,14.847524407588118,1000,5
Vienna,F020,0.24050621224938507,-0.0015723270440251573,0.001,8.252837257673843,1000,5
Vienna,F021,0.23289123191351388,-0.0015723270440251573,0.001,7.835255756415599,1000,5
Vienna,F022,0.4032001941025533,-0.0015723270440251573,0.001,12.827203371486956,1000,5
Vienna,F023,0.14335968271380195,-0.0015723270440251573,0.001,4.648764700428163,1000,5
Vienna,F024,0.12123958790224648,-0.0015723270440251573,0.001,4.2139243009542975,1000,5
Vienna,F025,0.18538476035805213,-0.0015723270440251573,0.001,6.0861007318633975,1000,5
Vienna,F026,-0.0040393882265109425,-0.0015723270440251573,0.921,-0.13828220490199095,1000,5
Vienna,F027,0.17727534915777776,-0.0015723270440251573,0.001,5.773525780830267,1000,5
Vienna,F028,0.5348764926342039,-0.0015723270440251573,0.001,17.245014345760243,1000,5
Vienna,F029,0.24598246331384896,-0.0015723270440251573,0.001,8.451579964784683,1000,5
Vienna,F030,0.5471953175780733,-0.0015723270440251573,0.001,18.08406286495235,1000,5
Vienna,F031,0.07039943560040182,-0.0015723270440251573,0.01,2.4402504526149187,1000,5
Vienna,F032,0.19218382826763375,-0.0015723270440251573,0.001,6.201519983589347,1000,5
Vienna,F033,0.3942749395602984,-0.0015723270440251573,0.001,12.794642817261595,1000,5
Vienna,F034,0.21586501307711797,-0.0015723270440251573,0.001,7.285987158029929,1000,5
Vienna,F035,0.3156145083279852,-0.0015723270440251573,0.001,10.561973858002226,1000,5
Vienna,F036,0.1317945853604461,-0.0015723270440251573,0.001,4.271943537641047,1000,5
