gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
208,regional_3to5cities,3,区域型 3-5城,区域型 3-5城,HongKong,香港,0.023828656462585033,9.00803643182427,1.4880952380952381e-05,0.023828656462585033,0.6546091252296125,1.2382133341431163,HongKong|Singapore|SaoPaulo,0.023828656462585033,0.005141369047619047,9.141156462585034e-05,1.4880952380952381e-05,4.464285714285714e-05,0.00148703231292517,2.5510204081632654e-05,0.00013392857142857144,0.0001254251700680272,0.00015518707482993198,0.00041879251700680274,0.0002763605442176871,9.00803643182427,1.943611036699705,0.0345566568443611,0.005625502276989017,0.016876506830967048,0.5621484061076881,0.009643718189124028,0.050629520492901155,0.04741494776319314,0.05866595231717118,0.15831770693811947,0.10447361371551031
209,accessory_6to8cities,8,辅助型 6-8城,辅助型 6-8城,Dhaka,达卡,0.003131377551020408,3.390103567318757,0.0001211734693877551,0.003131377551020408,0.11396783692251078,3.176392079065651,Singapore|Amsterdam|Paris|MexicoCity|Sydney|Jakarta|Dhaka|Manila,0.0004942602040816326,0.000980017006802721,0.0006026785714285714,0.0001211734693877551,0.0013818027210884354,0.00032631802721088435,0.0005697278911564625,0.001170280612244898,0.0013073979591836735,0.003131377551020408,0.0004230442176870748,0.0005761054421768708,0.5350978135788262,1.0609896432681243,0.6524741081703107,0.13118527042577677,1.4959723820483315,0.3532796317606444,0.616800920598389,1.2669735327963176,1.4154200230149598,3.390103567318757,0.4579976985040276,0.6237054085155351
210,near_core_9to11cities,11,近核心 9-11城,近核心 9-11城,SaoPaulo,圣保罗,0.0068951955782312925,2.5967908730026354,0.00047512755102040817,0.0068951955782312925,0.09274837469880404,3.252463055423109,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Dhaka|NewDelhi|Manila,0.002938988095238095,0.002395833333333333,0.001284013605442177,0.0030272108843537415,0.0025552721088435374,0.0068951955782312925,0.0052285289115646255,0.0034927721088435374,0.00047512755102040817,0.0006515731292517007,0.0007833758503401361,0.0021354166666666665,1.1068485839143343,0.9022917570137104,0.48357073756546687,1.1400740567768621,0.9623377923074357,2.5967908730026354,1.9691096507322279,1.3154084798345398,0.17893718517530105,0.24538813090035694,0.29502618674316977,0.8042165660339593
211,regional_3to5cities,3,区域型 3-5城,区域型 3-5城,Dhaka,达卡,0.007868835034013606,4.588399359537214,0.0,0.007868835034013606,0.45588311771923384,1.9506386189858542,Jakarta|Dhaka|Manila,4.464285714285714e-05,0.0002657312925170068,0.0,2.657312925170068e-05,2.1258503401360543e-05,0.0004060374149659864,0.0003539540816326531,4.1454081632653064e-05,0.006682610544217687,0.007868835034013606,0.00015412414965986393,0.0047140731292517005,0.026031713237952583,0.15495067403543206,0.0,0.015495067403543204,0.012396053922834563,0.2367646299261402,0.2063942978151955,0.024172305149527402,3.896699550643045,4.588399359537214,0.08987139094055058,2.7488249573885644
212,city_unique_1city,1,单城独有,单城独有,Dhaka,达卡,0.0018505527210884354,8.928205128205128,1.0629251700680272e-06,0.0018505527210884354,0.6087565060557656,1.402593254441205,Dhaka,1.0629251700680272e-06,4.251700680272109e-06,5.102040816326531e-05,8.503401360544217e-06,8.503401360544217e-06,2.1258503401360543e-05,1.4880952380952381e-05,2.1258503401360544e-06,0.00016900510204081632,0.0018505527210884354,0.0002657312925170068,9.034863945578231e-05,0.005128205128205128,0.020512820512820513,0.24615384615384617,0.041025641025641026,0.041025641025641026,0.10256410256410256,0.0717948717948718,0.010256410256410256,0.8153846153846154,8.928205128205128,1.2820512820512822,0.4358974358974359
213,core_universal_12cities,12,12城共有基因,12城共有基因,CapeTown,开普敦,0.00882546768707483,2.605884660651235,0.0007281037414965986,0.00882546768707483,0.07521979673497603,3.315302350114399,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0020068027210884353,0.0007281037414965986,0.0038159013605442178,0.00882546768707483,0.0037670068027210886,0.003857355442176871,0.0026488095238095238,0.006474277210884354,0.0015571853741496598,0.0026764455782312927,0.0028125,0.0014710884353741497,0.5925460965084346,0.2149862691251471,1.1267163593566103,2.605884660651235,1.1122793252255785,1.1389564535111807,0.7821106316202431,1.9116516280894467,0.45978815221655545,0.7902706943899568,0.830443311102393,0.4343664182032169
214,pair_specific_2cities,2,双城特异,双城特异,NewDelhi,新德里,0.005497448979591837,10.07368933614673,0.0,0.005497448979591837,0.7703805883384915,0.8231769802441617,Dhaka|NewDelhi,0.0,0.0,0.0,1.0629251700680272e-06,0.0,1.0629251700680271e-05,0.0003348214285714286,0.0,1.7006802721088435e-05,0.0006781462585034013,0.005497448979591837,9.566326530612244e-06,0.0,0.0,0.0,0.0019477357571822758,0.0,0.019477357571822757,0.6135367635124169,0.0,0.031163772114916412,1.2426554130822918,10.07368933614673,0.017529621814640482
215,near_core_9to11cities,9,近核心 9-11城,近核心 9-11城,CapeTown,开普敦,0.0013786139455782313,1.7133421400264202,3.9328231292517006e-05,0.0013786139455782313,0.05825929159051968,3.3761051250505636,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|Jakarta|Dhaka|Manila,0.0007716836734693878,0.0012478741496598639,0.0006622023809523809,0.0013786139455782313,0.0012191751700680272,0.0010352891156462584,0.0003752125850340136,0.00035820578231292516,0.001058673469387755,0.0007089710884353741,3.9328231292517006e-05,0.0008003826530612244,0.9590488771466316,1.5508586525759578,0.8229854689564069,1.7133421400264202,1.515191545574637,1.2866578599735798,0.4663143989431969,0.44517833553500663,1.3157199471598415,0.88110964332893,0.0488771466314399,0.9947159841479525
216,unused,0,未使用,未使用,Manila,马尼拉,0.0003050595238095238,5.466666666666667,0.0,0.0003050595238095238,0.30174378698867865,2.503222339541151,,4.67687074829932e-05,2.1258503401360544e-06,2.1258503401360544e-06,2.9761904761904762e-05,5.5272108843537416e-05,4.251700680272109e-06,2.9761904761904762e-05,3.401360544217687e-05,0.0,4.783163265306122e-05,0.00011267006802721089,0.0003050595238095238,0.8380952380952382,0.0380952380952381,0.0380952380952381,0.5333333333333333,0.9904761904761905,0.0761904761904762,0.5333333333333333,0.6095238095238096,0.0,0.8571428571428571,2.019047619047619,5.466666666666667
217,regional_3to5cities,5,区域型 3-5城,区域型 3-5城,Singapore,新加坡,0.001998299319727891,3.1164525486945704,0.0001445578231292517,0.001998299319727891,0.10650983963145988,3.2031287196845484,HongKong|Singapore|Amsterdam|Paris|NewDelhi,0.00125,0.001998299319727891,0.000936437074829932,0.00018176020408163266,0.000548469387755102,0.0004528061224489796,0.0004166666666666667,0.0003422619047619048,0.0001445578231292517,0.0004963860544217687,0.0006600765306122449,0.00026679421768707485,1.949440530460008,3.1164525486945704,1.4604227103191045,0.2834645669291338,0.8553667633651054,0.7061748860339825,0.649813510153336,0.5337753833402403,0.22544550352258597,0.7741400745959385,1.0294239535847491,0.4160795690012432
