city_a,city_b,composition_similarity,cooccurrence_similarity,pattern
Jakarta,Manila,0.9821353634129808,0.6355157064810373,high_both
Jakarta,Moscow,0.9392225803623445,0.24518706119556666,low_both
Jakarta,Singapore,0.9318209048354159,0.33161332538059507,low_both
Jakarta,CapeTown,0.8924798500313722,0.37767037273825754,low_composition_high_cooccurrence
Jakarta,Johannesburg,0.9148801945230746,0.3479746504944198,low_both
Jakarta,Seoul,0.9314210369356616,0.3347889068857367,low_both
Jakarta,Taipei,0.9448477600215112,0.38254028686467156,high_both
Jakarta,Bangkok,0.9759425867429887,0.5332900721538787,high_both
Jakarta,Istanbul,0.9248357924527495,0.3753725061867648,low_composition_high_cooccurrence
Jakarta,London,0.9265188842182305,0.2013809657634817,low_both
Jakarta,LosAngeles,0.8641750622993107,0.24408618220899073,low_both
Jakarta,NewYorkCity,0.9048069824488516,0.2352661213903456,low_both
Osaka,KualaLumpur,0.8999583517219376,0.3985832081748476,low_composition_high_cooccurrence
Osaka,MexicoCity,0.9265371326439947,0.4339700214078565,low_composition_high_cooccurrence
Osaka,Amsterdam,0.8971739617027851,0.4048505638054672,low_composition_high_cooccurrence
Osaka,Lagos,0.8321061496145745,0.3576264446577062,low_both
Osaka,Lima,0.9033725171271318,0.2904874741180956,low_both
Osaka,Manila,0.9367762816691475,0.4828526750431153,low_composition_high_cooccurrence
Osaka,Moscow,0.9246696494609592,0.32206446217787316,low_both
Osaka,Singapore,0.9140710639077537,0.339972040660347,low_both
Osaka,CapeTown,0.9014851389700772,0.42701213243953495,low_composition_high_cooccurrence
Osaka,Johannesburg,0.8877172431823644,0.37573867582874043,low_composition_high_cooccurrence
Osaka,Seoul,0.9791212312163443,0.6002458846724309,high_both
Osaka,Taipei,0.9558608859836477,0.5901556633825613,high_both
Osaka,Bangkok,0.9355702384370413,0.3806173461165498,low_composition_high_cooccurrence
Osaka,Istanbul,0.9621347780160354,0.5050669366688878,high_both
Osaka,London,0.9192224003949295,0.33915951465527433,low_both
Osaka,LosAngeles,0.9040142585488056,0.3333326505557918,low_both
Osaka,NewYorkCity,0.9395559080588701,0.2631370814615664,low_both
KualaLumpur,MexicoCity,0.9282754263590403,0.40411457974537573,low_composition_high_cooccurrence
KualaLumpur,Amsterdam,0.9420785284525515,0.380781424615689,high_both
KualaLumpur,Lagos,0.9353195366829486,0.3054911966852283,low_both
KualaLumpur,Lima,0.9044643471296363,0.23224428267540065,low_both
KualaLumpur,Manila,0.962091867310688,0.5174433513613356,high_both
KualaLumpur,Moscow,0.9672541994318647,0.42090517806334576,high_both
KualaLumpur,Singapore,0.9793915762857287,0.5468205684328332,high_both
